,STreversal,AnnouncementReturn,MomSeason,Mom6m,Price,BookLeverage,AM,MaxRet,BMdec,Mom12mOffSeason,ChTax,IndMom,IdioVol3F,EarningsSurprise,Herf,IntMom,BetaLiquidityPS,zerotrade1M,Leverage,IdioVolAHT,ResidualMomentum,Tax,Mom12m,zerotrade12M,BPEBM,MomSeasonShort,ChInv,EBM,ReturnSkew,Size,ChNWC,cfp,BidAskSpread,CBOperProf,MomOffSeason,CoskewACX,GP,InvestPPEInv,DolVol,zerotrade6M,Accruals,EquityDuration,VolSD,DelLTI,LRreversal,NOA,CF,DelCOL,ReturnSkew3F,ConvDebt,RoE,ChInvIA,PctAcc,RevenueSurprise,TotalAccruals,OPLeverage,hire,ChNNCOA,DelEqu,Investment,ChAssetTurnover,ChEQ,ShareIss1Y,DelFINL,CashProd,grcapx,AssetGrowth,DelCOA,IndIPO,DelNetFin,dNoa,DivOmit,DivInit,RDIPO
200001,1.7362598,1.1934079,1.0485125,1.046305,0.9840723,0.95706356,0.9503363,0.85136116,0.84952945,0.7877353,0.76495755,0.75380766,0.7283537,0.72162896,0.7104694,0.7028306,0.70222914,0.695618,0.6853703,0.6780335,0.6756698,0.6700716,0.65873015,0.64891297,0.646008,0.6454715,0.6430774,0.6380533,0.63064283,0.6124323,0.6112925,0.60335904,0.59650373,0.58472604,0.5690117,0.5646794,0.55127615,0.5487371,0.5456957,0.5444242,0.5411928,0.5384005,0.53282773,0.53208816,0.52609277,0.52539384,0.5080359,0.49959043,0.49331132,0.48717645,0.48662588,0.48636895,0.48311982,0.47947943,0.47481415,0.4671591,0.4663208,0.46554643,0.45947757,0.4551248,0.45492303,0.454677,0.4501193,0.4253291,0.41869122,0.39807883,0.39176524,0.3901972,0.36215228,0.32369077,0.29367515,0.16395366,0.1368753,0.12922613
200002,7.627242,7.5653486,6.60253,7.839845,7.0873923,7.4568696,7.830547,6.540659,7.3482413,7.08038,7.115703,6.7154284,7.210062,7.6970434,7.1087456,7.077049,6.5887146,7.12346,7.739361,7.2902193,7.6057405,6.832792,6.825903,7.6959305,8.193284,7.523226,7.4375224,7.072131,6.6359296,7.2843614,6.9181643,7.133609,6.779973,7.3279023,6.921123,7.597481,6.918568,7.0396466,7.2359095,7.712141,7.6804442,7.287586,6.901736,6.308778,7.107312,6.913615,6.8160634,7.130867,7.2657886,7.114036,7.5804534,7.6989284,7.145557,6.851936,7.558764,7.0292134,7.20604,7.3065257,7.3890495,7.172586,7.3260884,6.8388753,6.645302,7.524431,7.655022,6.9208093,6.992321,7.668707,5.0091615,7.379079,7.07865,5.6144133,5.952222,1.1549252
200003,1.919911,1.1733911,1.0200274,1.4149528,1.3052033,1.4914236,1.2069707,1.1411091,1.1672258,1.0359056,0.9086209,1.0693078,1.0863438,1.1323452,0.8679009,0.93916166,0.93566746,0.9561086,0.8631642,0.9505551,1.0454246,0.70640475,0.72859645,0.71046567,0.81112313,0.949797,0.7666605,0.7146113,0.7513972,0.97620463,0.62367433,0.7242458,0.89655316,0.8345754,0.7972854,0.91802424,0.85698736,0.5960754,0.88343304,0.6530279,0.7463059,0.7891978,0.5955494,0.6870583,0.65940964,0.65719694,0.6553798,0.58463705,0.6194884,0.7013642,0.5994132,0.7403696,0.6886902,0.8396667,0.52606004,0.71862936,0.6685072,0.7867156,0.6094877,0.6489384,0.68802774,0.5451151,0.73480994,0.562555,0.57940924,0.6214744,0.51729965,0.61791295,1.0213631,0.51849914,0.49125147,0.34604618,0.2855527,0.14121641
200004,1.4690055,0.87290263,0.779997,1.0295582,1.0311674,1.0595411,0.95955116,0.75712204,0.95746714,0.6471347,0.53546005,0.5397171,0.77689403,0.7034091,0.5977865,0.5617996,0.6524535,0.6738632,0.64729005,0.6043321,0.7622189,0.51285857,0.5121683,0.48472694,0.5174786,0.74918514,0.43494752,0.45952386,0.46327668,0.6613024,0.4833254,0.49986666,0.6772124,0.52443075,0.6568464,0.5603534,0.5959059,0.5790016,0.63816226,0.36724505,0.48320794,0.5483779,0.42460704,0.4554115,0.5330485,0.48063686,0.4394848,0.30726415,0.4903461,0.53555316,0.47744825,0.4591556,0.41839245,0.56324995,0.45325166,0.36465326,0.43768194,0.53394383,0.35497376,0.4782019,0.42337954,0.3541811,0.41555348,0.47943833,0.4885394,0.41335627,0.34201324,0.34234464,0.6218028,0.45250335,0.423322,0.20723043,0.22937931,0.10587335
200005,1.3427515,0.79954034,0.76210135,0.9828911,1.0054823,0.9223921,0.87058866,0.60615194,0.95618165,0.5831708,0.52574897,0.59479,0.6260593,0.61760914,0.63472444,0.4773736,0.50575125,0.6156506,0.66925853,0.59879214,0.693443,0.43450966,0.3365849,0.43767968,0.49316424,0.5850907,0.37752312,0.5233408,0.44439274,0.7032223,0.46499866,0.50294185,0.66844,0.5214184,0.65469736,0.43023345,0.4180364,0.3852442,0.5713948,0.3956037,0.6011483,0.49305555,0.46294647,0.40926662,0.5766693,0.39894146,0.338107,0.3522076,0.4938547,0.52483517,0.42841053,0.4478279,0.43810892,0.4439584,0.33452606,0.46898603,0.43657428,0.39463204,0.34187505,0.50519776,0.42487442,0.36665335,0.45255187,0.49308303,0.46081,0.4081193,0.31305292,0.30749795,0.87323004,0.45649743,0.30833238,0.26816785,0.22134082,0.11957993
200006,2.1840823,1.3956405,1.1224607,1.3641434,1.356876,1.2890632,1.1565516,0.9204535,1.0177872,0.83578014,0.75174373,0.9658006,0.93949056,0.94102407,0.7495881,0.71167403,0.8118738,0.81421065,0.7750054,0.88762766,0.85848624,0.6919409,0.7689696,0.62100685,0.75520766,0.8730497,0.6039097,0.60088927,0.7275546,0.8151336,0.6968387,0.71924573,0.80560976,0.6994144,0.75397664,0.6551736,0.7221444,0.438565,0.8185783,0.6125033,0.59231114,0.58324015,0.5814065,0.5706824,0.5861425,0.67961967,0.6470455,0.49670833,0.6136013,0.6044842,0.47507074,0.54892045,0.56322914,0.6317467,0.513375,0.574115,0.53607756,0.52293175,0.44394523,0.5374796,0.65394074,0.47398728,0.5919398,0.5082058,0.45696944,0.5374484,0.37979326,0.42289343,0.41819087,0.4694385,0.43806958,0.21794848,0.17350908,0.09596173
200007,2.004651,1.2076066,1.0636498,1.0739853,0.98777795,1.2060157,1.047676,0.82356536,0.8289881,0.7088461,0.93598205,0.6296357,0.7147805,1.0397875,0.785119,0.7446426,0.63226384,0.7402103,0.69805264,0.79451025,0.7646225,0.4692774,0.6876904,0.7188572,0.74986154,0.73208934,0.5143591,0.5779415,0.6779418,0.73751354,0.6600035,0.55663675,0.67048585,0.6037747,0.7722162,0.7720926,0.62841195,0.55571455,0.72971714,0.6160808,0.5320187,0.6075964,0.57444406,0.53743637,0.5517349,0.6308796,0.62785894,0.4692324,0.67445654,0.44979677,0.42775196,0.52227616,0.44021782,0.5997102,0.454532,0.52117825,0.4777156,0.5387207,0.35124466,0.48301384,0.5803131,0.45213178,0.4765965,0.5506292,0.4785084,0.4388803,0.45593902,0.40268257,0.43086386,0.5303265,0.50728846,0.16084832,0.20056853,0.12344618
200008,2.2002273,1.38935,1.3543646,1.412781,1.3421923,1.3593556,1.059106,0.959,1.0612987,0.8394434,0.8103698,0.8886122,0.9061459,0.8683447,0.72940004,0.8903125,0.8158389,0.8958425,0.7460939,0.9506672,0.932524,0.7270953,0.8579717,0.67550707,0.88364404,0.9227421,0.6411877,0.6701888,0.7322909,0.8704286,0.83239603,0.71569645,0.75850976,0.69249535,0.8399444,0.79647464,0.6850755,0.6061169,0.79935145,0.6248134,0.6100603,0.59707385,0.64572793,0.5839348,0.62142074,0.7983316,0.55345905,0.58449477,0.7721702,0.62045884,0.5668685,0.7081619,0.5665946,0.6948243,0.63310254,0.60925883,0.6276573,0.5167035,0.59807557,0.5701979,0.66099316,0.5256313,0.5176318,0.5515801,0.5874805,0.56730866,0.62713605,0.5441446,0.48470396,0.5946645,0.47898594,0.24474272,0.19505206,0.11824366
200009,1.5118227,0.7767761,0.7658669,1.0409796,0.99526733,1.0812573,0.893033,0.7501525,1.003244,0.7467582,0.62100595,0.5950666,0.64069015,0.70962614,0.698057,0.62778306,0.6143342,0.6915159,0.6732271,0.6902388,0.7881625,0.59771883,0.49438718,0.48137763,0.55741465,0.6076017,0.44500047,0.53376186,0.5043256,0.85947865,0.5559651,0.440964,0.6731149,0.5658017,0.78847104,0.49722114,0.568765,0.6232167,0.6327047,0.47042894,0.46253085,0.5241575,0.48549643,0.40806445,0.49642643,0.5358535,0.47715482,0.3969433,0.6019937,0.4928437,0.5521002,0.44028753,0.47096503,0.49466574,0.44843283,0.512174,0.472469,0.470734,0.2727853,0.42373586,0.48222476,0.33595586,0.49609143,0.41491634,0.49101657,0.43619215,0.33638796,0.44950184,0.7334573,0.400632,0.41099298,0.25474375,0.22649424,0.14126725
200010,1.5336243,0.85801697,0.7126429,1.0338689,0.74886626,0.9364883,0.89027333,0.6162875,1.0005845,0.57283986,0.4732682,0.5403248,0.49034405,0.5453604,0.6550264,0.52245337,0.5284414,0.5958421,0.62132823,0.6466275,0.6356997,0.44640958,0.46699718,0.42220518,0.53865814,0.46178705,0.36942995,0.54647523,0.38834122,0.652338,0.42583486,0.3927898,0.57388836,0.46089903,0.65666044,0.47493994,0.39186525,0.3781909,0.52109474,0.3425887,0.39536113,0.371924,0.38107824,0.4547945,0.48178732,0.486376,0.38509047,0.24992995,0.5267551,0.43024123,0.3817053,0.414867,0.41833642,0.42892003,0.2979888,0.38158205,0.4196688,0.38012287,0.30046836,0.4566876,0.40428916,0.3557607,0.36057904,0.43769142,0.33495417,0.3604206,0.33142015,0.27180856,0.4836927,0.37196413,0.2998112,0.18962058,0.17805083,0.071477145
200011,1.8986986,0.9775573,0.90710545,1.1013999,0.9545002,1.2744985,1.0577556,0.77383476,1.0881016,0.8050829,0.62199736,0.80003506,0.76409614,0.918056,0.76830536,0.62308145,0.6340047,0.6743257,0.7726513,0.79003847,0.79411405,0.46171933,0.64218366,0.59504914,0.6838289,0.68887603,0.48537076,0.624042,0.5780921,0.89323795,0.5228612,0.62691677,0.6321378,0.6558281,0.7965944,0.6345999,0.51881707,0.61233443,0.754275,0.53452444,0.48196447,0.44257927,0.49474666,0.48574612,0.5063441,0.60630405,0.47796845,0.42011777,0.5673969,0.6125671,0.4696139,0.59429383,0.49837378,0.5274503,0.3121438,0.48971313,0.5795338,0.5096222,0.35634983,0.3576157,0.60060644,0.3520123,0.5406653,0.43126494,0.48124978,0.41750392,0.43090418,0.36767218,0.737982,0.4108939,0.35773873,0.25458086,0.19855069,0.1435637
