,STreversal,Mom6m,Mom12mOffSeason,MomSeason,ResidualMomentum,Price,AnnouncementReturn,BookLeverage,BMdec,AM,MomOffSeason,IdioVolAHT,IdioVol3F,zerotrade1M,CBOperProf,Size,MaxRet,MomSeasonShort,EarningsSurprise,IntMom,IndMom,ChTax,zerotrade12M,BidAskSpread,Mom12m,ReturnSkew3F,LRreversal,Herf,BetaLiquidityPS,zerotrade6M,DolVol,BPEBM,CoskewACX,Tax,Investment,Leverage,CF,NOA,EquityDuration,cfp,RoE,ShareIss1Y,Accruals,DelLTI,RevenueSurprise,OPLeverage,GP,InvestPPEInv,ChNWC,CashProd,ChAssetTurnover,EBM,ChInvIA,IndIPO,grcapx,hire,VolSD,ChNNCOA,ChInv,DelCOL,ReturnSkew,DelFINL,TotalAccruals,PctAcc,ChEQ,DelNetFin,DelCOA,dNoa,ConvDebt,DivInit,DelEqu,AssetGrowth,DivOmit,RDIPO
200001,0.9845713,0.77108365,0.69930947,0.6662616,0.65925246,0.65795213,0.65059483,0.64725393,0.6403375,0.59832084,0.56456655,0.5515423,0.53407913,0.5132054,0.5086733,0.5076305,0.50762266,0.50340205,0.48996648,0.47405237,0.46773937,0.45675898,0.44626865,0.4404272,0.43782994,0.4280109,0.41906357,0.4121433,0.40963113,0.40917096,0.4083197,0.4032126,0.3928204,0.3814294,0.3757946,0.3756122,0.36411047,0.35304204,0.3509154,0.34767348,0.33094797,0.32580206,0.32188985,0.32135966,0.3200168,0.31976327,0.31786776,0.3088636,0.30680123,0.29805556,0.29732051,0.2968227,0.2967701,0.28825843,0.2772906,0.2740025,0.2712444,0.2592838,0.258702,0.2575462,0.25636187,0.25340694,0.25304222,0.24585372,0.23784906,0.23296487,0.22059824,0.21662752,0.21362329,0.20106758,0.19922946,0.19072074,0.12180657,0.06876512
200002,0.7888721,0.564471,0.64816076,0.6091337,0.44198158,0.59530216,0.7162349,0.45385194,0.31495157,0.35978183,0.40486833,0.33105245,0.409486,0.37607774,0.39108482,0.29827976,0.33369952,0.31214803,0.35304457,0.30235723,0.34614205,0.46091262,0.29505593,0.33649307,0.43267643,0.3144246,0.2465986,0.31089225,0.2414195,0.3215084,0.33112988,0.28652298,0.27739105,0.27126625,0.18231152,0.17929022,0.16690357,0.3999092,0.20617636,0.22373074,0.19080932,0.16041337,0.2096932,0.27741015,0.2522264,0.23331785,0.28912833,0.23216762,0.19664502,0.18081997,0.18608797,0.19981189,0.21850401,0.142557,0.16639775,0.18147019,0.21990918,0.17141323,0.21535191,0.15733369,0.22560602,0.18710911,0.19119398,0.15141825,0.16023262,0.15970725,0.13728021,0.17561461,0.14913133,0.13011529,0.15144607,0.17342573,0.10258816,0.044755377
200003,2.1611912,2.2022698,2.004837,2.1456254,2.2679925,1.9479098,2.3817039,1.8251756,1.8351575,1.8324862,1.7600315,1.748967,2.0385904,1.8138912,1.987364,1.7938215,2.0045214,1.8412491,2.1440704,2.1188397,1.5879713,1.802774,2.1588602,1.7772535,2.0158615,1.8604025,1.7368748,1.5985985,1.6153709,2.1357064,2.277691,2.2811859,1.9762797,1.6935797,1.8944492,1.8560913,1.5075718,1.65055,1.660926,1.5727113,2.01057,1.8114408,1.798533,1.4920888,1.593883,1.5591086,1.8118654,1.786911,1.7704041,1.7786784,1.8730043,1.9002877,1.9819745,0.13189927,1.6392945,2.093425,2.1134117,2.0593534,1.8988391,1.7373691,1.7212751,2.0951676,1.7506344,1.9982941,1.895008,1.9011086,1.8224138,1.8710575,1.5845948,0.15390836,2.1330867,1.8461301,0.11358673,0.04645078
200004,0.7517876,0.56704503,0.53514457,0.67029256,0.4773491,0.4870011,0.6460653,0.43761623,0.31504425,0.3539006,0.40794712,0.31783015,0.37393773,0.38251603,0.44179457,0.28185633,0.2709846,0.26062194,0.19644867,0.36530808,0.4448669,0.35362765,0.23572654,0.2056637,0.4181015,0.39249125,0.25536484,0.243689,0.23565209,0.20510082,0.2625476,0.30283928,0.26533306,0.2693408,0.2827848,0.2130539,0.1911513,0.3817853,0.25370163,0.29267865,0.19439235,0.18211648,0.16133076,0.21704587,0.20196074,0.21126993,0.20467731,0.18680356,0.20020685,0.2004463,0.28396913,0.29557168,0.27879536,0.13783516,0.20229882,0.17721821,0.2594175,0.23858613,0.19321117,0.16144231,0.21758616,0.107246324,0.19352414,0.18860692,0.11993436,0.13736244,0.20100032,0.20339766,0.18824795,0.14102197,0.1445232,0.2045932,0.07158071,0.0451771
200005,1.1170303,0.8087126,0.6881079,0.93835926,0.59168494,0.7801823,0.8817227,0.72428685,0.53515816,0.5819861,0.6463529,0.56989026,0.4601241,0.4767731,0.57199,0.48280454,0.44712394,0.43296915,0.35206547,0.5262848,0.60961795,0.40993467,0.33192208,0.39853588,0.54893655,0.49477154,0.39458022,0.42138052,0.43966553,0.3280161,0.38549307,0.48093283,0.40326652,0.39353448,0.30207324,0.3441124,0.42305043,0.40827182,0.3315743,0.39751986,0.3089919,0.3004747,0.19988763,0.37199473,0.42409456,0.36020383,0.38856098,0.24353132,0.3313299,0.32068127,0.38754717,0.39863798,0.3521284,0.2341188,0.30490717,0.28565902,0.3140904,0.33836743,0.25905195,0.35027468,0.38000947,0.19240306,0.4226866,0.31585884,0.29819334,0.25061998,0.30273968,0.2707019,0.31443933,0.18702525,0.24797441,0.27742982,0.13835128,0.06893755
200006,3.4494836,3.9966063,3.4940453,3.2559674,3.640441,3.3333724,3.5988665,3.6568785,3.396161,3.3204138,3.4858787,3.286693,3.457994,3.2551215,3.4573665,3.191293,3.6507645,3.3360512,3.7208323,3.6302104,2.6471963,3.025352,3.7758753,3.1138878,3.3742208,3.2526839,3.0858417,3.0625763,2.7919822,3.758406,3.869229,3.9813907,3.753656,3.1348963,3.52407,3.572625,3.112397,3.0846322,3.195492,3.2239833,3.4446194,3.3179364,3.212222,3.18061,2.9294255,3.3318257,3.207623,3.0891683,3.1218686,3.0733278,3.3998206,3.2902257,3.4259586,1.1632007,3.039817,3.574714,3.455354,3.514335,3.3608215,3.165141,3.0747974,3.734288,3.2990172,3.6831138,3.307365,3.6350114,3.3883688,3.361221,3.366604,1.7594095,3.8570352,3.3457074,1.273532,0.03256255
200007,1.339588,0.9156901,0.782049,1.1252052,0.8304214,0.83047885,1.5280757,0.8233841,0.56709015,0.5308379,0.7754762,0.7125876,0.64199024,0.5754302,0.8094516,0.56298155,0.62864524,0.5593643,0.5755906,0.6005338,0.7590492,0.72340393,0.43801552,0.50235873,0.68638253,0.642145,0.5628871,0.6893446,0.5384574,0.4058561,0.39962143,0.56085485,0.58292806,0.49487537,0.37026057,0.45406714,0.46300444,0.7382146,0.3801483,0.6056932,0.5569284,0.3825312,0.4173652,0.31155452,0.45101884,0.4409849,0.69247335,0.46488383,0.41067472,0.45242998,0.44599134,0.50774217,0.4713711,0.24697787,0.44755527,0.4381984,0.41546863,0.45493796,0.47557318,0.52125984,0.4547014,0.41849324,0.4721171,0.4224544,0.40202215,0.36560717,0.38659823,0.44225723,0.38134545,0.19117974,0.42115682,0.39959046,0.1420059,0.06518973
200008,1.032005,0.7148295,0.8103995,1.1791568,0.6588783,0.60607195,1.1031342,0.52782595,0.52664423,0.47868082,0.8005647,0.39532492,0.56316626,0.47225133,0.67119277,0.38786158,0.43003267,0.38504636,0.4154949,0.48831233,0.4566272,0.68097126,0.3862417,0.31581756,0.68526715,0.7194164,0.44935048,0.38353202,0.565745,0.3792629,0.4142083,0.35589322,0.42229268,0.37081105,0.38542196,0.33530584,0.4056338,0.5732805,0.19961523,0.40808994,0.34968242,0.3487216,0.3077984,0.4633603,0.4211887,0.31312886,0.40395078,0.31086633,0.43147525,0.35980034,0.517648,0.31043363,0.52797943,0.16618054,0.26499525,0.30135357,0.4207795,0.3263014,0.34210098,0.43016508,0.45595434,0.34664235,0.28466022,0.37819818,0.32139903,0.38906053,0.311915,0.34483713,0.31452718,0.19871366,0.29880664,0.2590282,0.14818226,0.065983385
200009,0.7877608,0.7117874,0.50159514,0.48897594,0.4540206,0.4295742,0.44978383,0.48807114,0.54861176,0.4402783,0.4692654,0.3331501,0.2834451,0.42345488,0.3580488,0.41197434,0.29347628,0.3874111,0.29152516,0.32966575,0.23365243,0.19555254,0.27663314,0.27227917,0.2863572,0.21994002,0.24472694,0.3068512,0.26546296,0.21707872,0.25622728,0.30738983,0.24007756,0.2542434,0.1893362,0.28858247,0.251944,0.23322217,0.22226806,0.282659,0.17847192,0.17983371,0.17040758,0.23463997,0.22350942,0.13739343,0.22137247,0.23025993,0.24880148,0.23195672,0.16256188,0.24889529,0.22894387,0.26910543,0.17406031,0.183525,0.1765886,0.13898411,0.13796268,0.14207081,0.18000464,0.10502075,0.16473646,0.14057067,0.1472835,0.15229774,0.20073284,0.16418064,0.19882938,0.10306145,0.12220617,0.09776867,0.11987037,0.059178956
200010,0.96522397,0.67134154,0.6056676,0.6514239,0.5195654,0.495436,0.5703462,0.6857849,0.61077404,0.4940013,0.5871775,0.44150022,0.39910752,0.48928052,0.43213674,0.44424796,0.4022253,0.44010893,0.287539,0.47681126,0.3506657,0.27361065,0.3386793,0.333036,0.4575674,0.34648103,0.27869138,0.37887865,0.36471084,0.29236156,0.35251394,0.39990693,0.29460743,0.26179525,0.26331794,0.30499083,0.24587025,0.32758632,0.2614382,0.25175357,0.2964592,0.33076873,0.1788977,0.26524743,0.25978664,0.2285758,0.3210415,0.24037232,0.25137845,0.28354025,0.27213195,0.3045317,0.32212204,0.28899524,0.19358337,0.21629408,0.24516031,0.26874334,0.18024932,0.21339329,0.28327,0.20361404,0.22315872,0.21572784,0.18185414,0.22900788,0.16675168,0.16421407,0.23400182,0.117679834,0.15370278,0.16231474,0.13449015,0.063635305
