metric,value
SR_gross(1A),1.379126041087781
SR_net(1A),-0.2233324961691691
SR_gross(1B),0.7743942859180672
SR_net(1B),-0.5083965757320761
SR_gross(2A),0.00815676185657017
SR_net(2A),-0.7835101706229783
SR_gross(2B),0.027128476452988708
SR_net(2B),-0.7605685363902362
Net training effect,-0.5601776744538093
Net portfolio effect,-0.285064079562907
Net total effect,-0.5372360402210672
Net interaction,0.3080057137956491
Training share (%),104.27030811695019
"LW p-val (training, net)",0.9916016796640672
"LW p-val (total, net)",0.9808038392321535
"LW p-val (H1, net)",0.856628674265147
Gross training effect,-1.370969279231211
Gross portfolio effect,-0.6047317551697138
Gross total effect,-1.3519975646347924
"LW p-val (training, gross)",0.9998000399920016
"LW p-val (total, gross)",0.9996000799840032
"LW p-val (H1, gross)",0.9928014397120576
alpha_capm(1A)_annual,-0.03834291726315164
alpha_capm(1A)_tstat,-1.1971766810223927
alpha_capm(1A)_pvalue,0.23123769688964657
alpha_capm(1B)_annual,-0.11041541686724121
alpha_capm(1B)_tstat,-2.103857749648718
alpha_capm(1B)_pvalue,0.03539085745946195
alpha_capm(2A)_annual,-0.15249749904710075
alpha_capm(2A)_tstat,-3.4835924115631487
alpha_capm(2A)_pvalue,0.0004947322912038976
alpha_capm(2B)_annual,-0.20330284539270344
alpha_capm(2B)_tstat,-3.3088915932759337
alpha_capm(2B)_pvalue,0.000936660968490123
alpha_ff3(1A)_annual,-0.03866226893542861
alpha_ff3(1A)_tstat,-1.2465681971974856
alpha_ff3(1A)_pvalue,0.21255586888489997
alpha_ff3(1B)_annual,-0.11293492700145777
alpha_ff3(1B)_tstat,-2.2456835122399537
alpha_ff3(1B)_pvalue,0.024724287002834727
alpha_ff3(2A)_annual,-0.15225267397495904
alpha_ff3(2A)_tstat,-3.6280582833034325
alpha_ff3(2A)_pvalue,0.0002855608051252146
alpha_ff3(2B)_annual,-0.20500278933009058
alpha_ff3(2B)_tstat,-3.4433115372698873
alpha_ff3(2B)_pvalue,0.0005746369453132746
alpha_ff5(1A)_annual,-0.03706096261753621
alpha_ff5(1A)_tstat,-1.1866968740985695
alpha_ff5(1A)_pvalue,0.23534720848060398
alpha_ff5(1B)_annual,-0.12584287453559753
alpha_ff5(1B)_tstat,-2.6538863150865444
alpha_ff5(1B)_pvalue,0.00795706299734733
alpha_ff5(2A)_annual,-0.1571346831146605
alpha_ff5(2A)_tstat,-3.7000033685895573
alpha_ff5(2A)_pvalue,0.00021559660515184422
alpha_ff5(2B)_annual,-0.23057445106957822
alpha_ff5(2B)_tstat,-3.8874421539986455
alpha_ff5(2B)_pvalue,0.00010130611956163546
alpha_ff5_mom(1A)_annual,-0.03994675847034446
alpha_ff5_mom(1A)_tstat,-1.2515673730417047
alpha_ff5_mom(1A)_pvalue,0.2107275495795955
alpha_ff5_mom(1B)_annual,-0.12766049626350626
alpha_ff5_mom(1B)_tstat,-2.707443273691301
alpha_ff5_mom(1B)_pvalue,0.006780365715751056
alpha_ff5_mom(2A)_annual,-0.15409031806979723
alpha_ff5_mom(2A)_tstat,-3.555124432128807
alpha_ff5_mom(2A)_pvalue,0.0003778002496032227
alpha_ff5_mom(2B)_annual,-0.2312162837876329
alpha_ff5_mom(2B)_tstat,-3.911213642041446
alpha_ff5_mom(2B)_pvalue,9.183349323124107e-05
Turnover (1A),1.7257612280586334
Turnover (1B),1.8919472007139453
Turnover (2A),1.0402051410236757
Turnover (2B),1.5178768457218743
