metric,value
SR_gross(1A),1.379126041087781
SR_net(1A),-1.627318247246174
SR_gross(1B),0.4423394835994998
SR_net(1B),-1.399750551802336
SR_gross(2A),0.00815676185657017
SR_net(2A),-1.268908678402736
SR_gross(2B),-0.07353640822412376
SR_net(2B),-1.3853316893079428
Net training effect,0.3584095688434381
Net portfolio effect,0.22756769544383793
Net total effect,0.2419865579382312
Net interaction,-0.34399070634904483
Training share (%),148.1113545715728
"LW p-val (training, net)",0.036192761447710456
"LW p-val (total, net)",0.16436712657468505
"LW p-val (H1, net)",0.2411517696460708
Gross training effect,-1.370969279231211
Gross portfolio effect,-0.9367865574882812
Gross total effect,-1.4526624493119047
"LW p-val (training, gross)",0.9998000399920016
"LW p-val (total, gross)",1.0
"LW p-val (H1, gross)",0.946010797840432
alpha_capm(1A)_annual,-0.2605716635249298
alpha_capm(1A)_tstat,-7.22380651357735
alpha_capm(1A)_pvalue,5.055217085264828e-13
alpha_capm(1B)_annual,-0.32410662544137936
alpha_capm(1B)_tstat,-5.463148585740787
alpha_capm(1B)_pvalue,4.6776275149209704e-08
alpha_capm(2A)_annual,-0.2723848549199414
alpha_capm(2A)_tstat,-4.8692263977537085
alpha_capm(2A)_pvalue,1.1203598909999193e-06
alpha_capm(2B)_annual,-0.3732307751839009
alpha_capm(2B)_tstat,-5.443622294279296
alpha_capm(2B)_pvalue,5.2207861203957876e-08
alpha_ff3(1A)_annual,-0.2601621800550442
alpha_ff3(1A)_tstat,-7.461983933227097
alpha_ff3(1A)_pvalue,8.522928043474254e-14
alpha_ff3(1B)_annual,-0.3232864534764299
alpha_ff3(1B)_tstat,-5.733438516784117
alpha_ff3(1B)_pvalue,9.841475137784253e-09
alpha_ff3(2A)_annual,-0.271955521039988
alpha_ff3(2A)_tstat,-4.980958234917567
alpha_ff3(2A)_pvalue,6.327019507837203e-07
alpha_ff3(2B)_annual,-0.37305673435612496
alpha_ff3(2B)_tstat,-5.664237304601514
alpha_ff3(2B)_pvalue,1.476799140073149e-08
alpha_ff5(1A)_annual,-0.2502888457046458
alpha_ff5(1A)_tstat,-6.956220847074861
alpha_ff5(1A)_pvalue,3.4952180323930832e-12
alpha_ff5(1B)_annual,-0.330074366255935
alpha_ff5(1B)_tstat,-6.047125548975094
alpha_ff5(1B)_pvalue,1.4745285338651562e-09
alpha_ff5(2A)_annual,-0.27283301469216853
alpha_ff5(2A)_tstat,-4.744861167297502
alpha_ff5(2A)_pvalue,2.0864938929425606e-06
alpha_ff5(2B)_annual,-0.39053219531902256
alpha_ff5(2B)_tstat,-5.8746784634879115
alpha_ff5(2B)_pvalue,4.236648490664512e-09
alpha_ff5_mom(1A)_annual,-0.2564570236359768
alpha_ff5_mom(1A)_tstat,-7.3369781214532
alpha_ff5_mom(1A)_pvalue,2.184703055103942e-13
alpha_ff5_mom(1B)_annual,-0.3334131786394069
alpha_ff5_mom(1B)_tstat,-6.252020225135565
alpha_ff5_mom(1B)_pvalue,4.051769067945416e-10
alpha_ff5_mom(2A)_annual,-0.271228083196073
alpha_ff5_mom(2A)_tstat,-4.6331168629206605
alpha_ff5_mom(2A)_pvalue,3.6020106857943336e-06
alpha_ff5_mom(2B)_annual,-0.39292700788395296
alpha_ff5_mom(2B)_tstat,-5.987263641479026
alpha_ff5_mom(2B)_pvalue,2.1340072505062897e-09
Turnover (1A),1.7257612280586334
Turnover (1B),1.6420023025982264
Turnover (2A),1.0402051410236757
Turnover (2B),1.3850639726272884
