metric,value
SR_gross(1A),1.0696867202986946
SR_net(1A),-2.718219544633797
SR_gross(1B),0.29744981461384756
SR_net(1B),-1.8498374643849216
SR_gross(2A),1.2340455684511649
SR_net(2A),-1.8212698451437002
SR_gross(2B),0.45046656547510155
SR_net(2B),-1.601923641749202
Net training effect,0.896949699490097
Net portfolio effect,0.8683820802488755
Net total effect,1.1162959028845951
Net interaction,-0.6490358768543774
Training share (%),80.35053225334873
"LW p-val (training, net)",0.00599880023995201
"LW p-val (total, net)",0.0009998000399920016
"LW p-val (H1, net)",0.4353129374125175
Gross training effect,0.16435884815247026
Gross portfolio effect,-0.772236905684847
Gross total effect,-0.619220154823593
"LW p-val (training, gross)",0.2633473305338932
"LW p-val (total, gross)",0.9796040791841631
"LW p-val (H1, gross)",0.0013997200559888023
alpha_capm(1A)_annual,-0.41739155336902983
alpha_capm(1A)_tstat,-9.759118997159419
alpha_capm(1A)_pvalue,1.6861356823981759e-22
alpha_capm(1B)_annual,-0.4180638522659885
alpha_capm(1B)_tstat,-6.390968663004995
alpha_capm(1B)_pvalue,1.6483816455130905e-10
alpha_capm(2A)_annual,-0.3313926344161239
alpha_capm(2A)_tstat,-7.688963324999191
alpha_capm(2A)_pvalue,1.4833197115992965e-14
alpha_capm(2B)_annual,-0.3739212587101679
alpha_capm(2B)_tstat,-5.596373639198081
alpha_capm(2B)_pvalue,2.188817180140724e-08
alpha_ff3(1A)_annual,-0.4198798633598062
alpha_ff3(1A)_tstat,-9.825507934763458
alpha_ff3(1A)_pvalue,8.743214966012786e-23
alpha_ff3(1B)_annual,-0.41740189688962254
alpha_ff3(1B)_tstat,-6.780552591310757
alpha_ff3(1B)_pvalue,1.1971708674542396e-11
alpha_ff3(2A)_annual,-0.33663074851227637
alpha_ff3(2A)_tstat,-7.916864700179321
alpha_ff3(2A)_pvalue,2.435745500393865e-15
alpha_ff3(2B)_annual,-0.3733586328986173
alpha_ff3(2B)_tstat,-5.958027651447897
alpha_ff3(2B)_pvalue,2.553003278045766e-09
alpha_ff5(1A)_annual,-0.4164823154718984
alpha_ff5(1A)_tstat,-9.237819240926736
alpha_ff5(1A)_pvalue,2.5157204988787275e-20
alpha_ff5(1B)_annual,-0.4314936164673941
alpha_ff5(1B)_tstat,-6.917424396233431
alpha_ff5(1B)_pvalue,4.599286928147836e-12
alpha_ff5(2A)_annual,-0.3307356478622371
alpha_ff5(2A)_tstat,-7.377224035831553
alpha_ff5(2A)_pvalue,1.6162391460805892e-13
alpha_ff5(2B)_annual,-0.3800081192935486
alpha_ff5(2B)_tstat,-6.141152604820213
alpha_ff5(2B)_pvalue,8.19248297712656e-10
alpha_ff5_mom(1A)_annual,-0.42039237062280677
alpha_ff5_mom(1A)_tstat,-9.25487416464611
alpha_ff5_mom(1A)_pvalue,2.1448289879075263e-20
alpha_ff5_mom(1B)_annual,-0.43846481969974127
alpha_ff5_mom(1B)_tstat,-7.317512273226045
alpha_ff5_mom(1B)_pvalue,2.526100399072415e-13
alpha_ff5_mom(2A)_annual,-0.33408041761328844
alpha_ff5_mom(2A)_tstat,-7.3490156669794064
alpha_ff5_mom(2A)_pvalue,1.9967178607929775e-13
alpha_ff5_mom(2B)_annual,-0.3873159161418749
alpha_ff5_mom(2B)_tstat,-6.528369004385672
alpha_ff5_mom(2B)_pvalue,6.648972640118124e-11
Turnover (1A),2.4105896321897413
Turnover (1B),2.1007868559189973
Turnover (2A),2.1489408084559916
Turnover (2B),2.044763131278892
