metric,value
SR_gross(1A),1.841364044311509
SR_net(1A),-0.30711119118232255
SR_gross(1B),1.3716994834956044
SR_net(1B),-0.2880149836918509
SR_gross(2A),1.8220380115158927
SR_net(2A),-0.34433612398301516
SR_gross(2B),1.3273941699226186
SR_net(2B),-0.3287303859472818
Net training effect,-0.03722493280069261
Net portfolio effect,0.01909620749047164
Net total effect,-0.02161919476495927
Net interaction,-0.0034904694547382986
Training share (%),172.18464057240172
"LW p-val (training, net)",0.8762247550489902
"LW p-val (total, net)",0.5398920215956808
"LW p-val (H1, net)",0.6076784643071386
Gross training effect,-0.019326032795616177
Gross portfolio effect,-0.46966456081590446
Gross total effect,-0.5139698743888903
"LW p-val (training, gross)",0.7780443911217756
"LW p-val (total, gross)",0.9736052789442111
"LW p-val (H1, gross)",0.041791641671665665
alpha_capm(1A)_annual,-0.044531633331001255
alpha_capm(1A)_tstat,-1.1255549791618162
alpha_capm(1A)_pvalue,0.26035393343954916
alpha_capm(1B)_annual,-0.044798757700738434
alpha_capm(1B)_tstat,-0.880639229271537
alpha_capm(1B)_pvalue,0.37851311859734893
alpha_capm(2A)_annual,-0.05086099330148712
alpha_capm(2A)_tstat,-1.2932723123727847
alpha_capm(2A)_pvalue,0.19591689321808214
alpha_capm(2B)_annual,-0.053439868085064256
alpha_capm(2B)_tstat,-1.0521121545203385
alpha_capm(2B)_pvalue,0.2927480962987651
alpha_ff3(1A)_annual,-0.04698165901715155
alpha_ff3(1A)_tstat,-1.2507317155892606
alpha_ff3(1A)_pvalue,0.21103237519365847
alpha_ff3(1B)_annual,-0.045348003712835906
alpha_ff3(1B)_tstat,-0.9242370764049402
alpha_ff3(1B)_pvalue,0.35536289574755897
alpha_ff3(2A)_annual,-0.05375208792718994
alpha_ff3(2A)_tstat,-1.4419087483542914
alpha_ff3(2A)_pvalue,0.14932811791765901
alpha_ff3(2B)_annual,-0.054337831300224286
alpha_ff3(2B)_tstat,-1.1112767123590421
alpha_ff3(2B)_pvalue,0.26644926008185865
alpha_ff5(1A)_annual,-0.056903974692705216
alpha_ff5(1A)_tstat,-1.4733736757838398
alpha_ff5(1A)_pvalue,0.14065030439003434
alpha_ff5(1B)_annual,-0.06189802965856242
alpha_ff5(1B)_tstat,-1.2808087250511493
alpha_ff5(1B)_pvalue,0.20026085865850718
alpha_ff5(2A)_annual,-0.0645035743688148
alpha_ff5(2A)_tstat,-1.68055060341739
alpha_ff5(2A)_pvalue,0.09285023736507436
alpha_ff5(2B)_annual,-0.07014794020100457
alpha_ff5(2B)_tstat,-1.4580389604587276
alpha_ff5(2B)_pvalue,0.14482980440765864
alpha_ff5_mom(1A)_annual,-0.058409266249251496
alpha_ff5_mom(1A)_tstat,-1.5038684335797963
alpha_ff5_mom(1A)_pvalue,0.13261524628159388
alpha_ff5_mom(1B)_annual,-0.06386454647291429
alpha_ff5_mom(1B)_tstat,-1.3371881994444739
alpha_ff5_mom(1B)_pvalue,0.1811612128382607
alpha_ff5_mom(2A)_annual,-0.0657700016697225
alpha_ff5_mom(2A)_tstat,-1.7088561379402107
alpha_ff5_mom(2A)_pvalue,0.0874776009943243
alpha_ff5_mom(2B)_annual,-0.07179689663004701
alpha_ff5_mom(2B)_tstat,-1.5103050001496143
alpha_ff5_mom(2B)_pvalue,0.13096561645957044
Turnover (1A),2.094225910864187
Turnover (1B),2.0094236843756303
Turnover (2A),2.096741877986129
Turnover (2B),2.0120684324701683
