yyyymm,hidden_layers,activation,batch_norm,dropout,batch_size,epochs,patience,learning_rate,l1_penalty,weight_decay,n_ensemble_seeds,search_space
200001,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.001,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
200101,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
200201,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
200301,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.001,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
200401,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
200501,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
200601,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.001,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
200701,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.001,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
200801,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.001,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
200901,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
201001,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
201101,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.001,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
201201,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.001,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
201301,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
201401,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
201501,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
201601,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
201701,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
201801,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
201901,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
202001,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
202101,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
202201,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.001,0.001,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
202301,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
202401,"[32, 16, 8]",relu,True,0.0,10000,100,5,0.01,1e-05,0.0,1,"{'learning_rate': [0.001, 0.01], 'l1_penalty': [1e-05, 0.001]}"
