yyyymm,AM,AbnormalAccruals,Accruals,AnalystRevision,AnnouncementReturn,AssetGrowth,BM,BMdec,BPEBM,Beta,BetaLiquidityPS,BetaTailRisk,BidAskSpread,BookLeverage,CBOperProf,CF,Cash,CashProd,ChAssetTurnover,ChEQ,ChInv,ChInvIA,ChNNCOA,ChNWC,ChTax,CompEquIss,CompositeDebtIssuance,CoskewACX,DelCOA,DelCOL,DelEqu,DelFINL,DelLTI,DelNetFin,DolVol,EBM,EP,EarnSupBig,EarningsStreak,EarningsSurprise,EntMult,EquityDuration,ExclExp,FEPS,ForecastDispersion,GP,Herf,HerfBE,IdioVol3F,IdioVolAHT,Illiquidity,IndMom,IndRetBig,IntMom,IntanBM,IntanCFP,IntanEP,IntanSP,InvGrowth,InvestPPEInv,Investment,LRreversal,Leverage,MaxRet,MeanRankRevGrowth,Mom12m,Mom12mOffSeason,Mom6m,MomOffSeason,MomOffSeason06YrPlus,MomSeason,MomSeason06YrPlus,MomSeason11YrPlus,MomSeasonShort,NOA,NetDebtFinance,NetDebtPrice,NetEquityFinance,NetPayoutYield,OPLeverage,PctAcc,PctTotAcc,Price,PriceDelayRsq,RD,RDS,REV6,RealizedVol,ResidualMomentum,ReturnSkew,ReturnSkew3F,RevenueSurprise,RoE,STreversal,ShareIss1Y,ShareIss5Y,Size,Tax,TotalAccruals,TrendFactor,VolSD,XFIN,betaVIX,cfp,dNoa,grcapx,grcapx3y,hire,roaq,std_turn,zerotrade12M,zerotrade1M,zerotrade6M
200001,9.88268293440342e-05,1.8783420046020183e-06,2.2067233658162877e-06,1.1842573712783633e-06,1.3074470189167187e-05,0.0,8.677116966282483e-06,2.045171640929766e-05,0.0,0.0,0.0,2.5474790277257853e-07,3.4592062547744717e-06,1.032001023304474e-06,5.24889474036172e-05,0.0,2.2949077902012505e-05,6.818891961302143e-06,1.4212215546649531e-06,9.914441534419893e-07,0.0,0.0,1.624524088583712e-06,2.2787582565797493e-05,0.0,7.430491677951068e-06,0.0,2.3143844373407774e-05,0.0,0.0,7.445843266395968e-07,0.0,2.2637232177658007e-06,5.865789489689632e-07,1.3314296666067094e-05,8.641007298137993e-06,0.0,0.0,0.0,0.0,1.6659686252751271e-06,0.0,0.0,0.0,4.16601722008636e-07,1.9850642729579704e-06,0.0,0.0,0.00022887621889822185,4.573709156829864e-05,2.2086480385041796e-05,1.577195575919177e-06,0.0,1.6174226402654313e-05,0.0,0.0,0.0,0.0,0.0,3.4176857752754586e-06,0.0,6.499300866380509e-07,2.208583646279294e-05,8.431370588368736e-06,3.4634535950317513e-06,0.00018952392565552145,0.00020081494585610926,7.582749822176993e-05,1.3488232980307657e-05,0.0,5.467872142617125e-06,2.102942517012707e-06,0.0,0.0,1.0028987844634685e-06,0.0,0.0,0.0,0.0,3.744469552202645e-07,2.2876320144860074e-06,0.0,2.2715545128448866e-05,0.0,5.272996986604994e-06,6.058844974177191e-06,2.825288731855835e-07,0.00020924444834236056,2.252785861855955e-06,3.6827719895882183e-07,0.0,0.0,2.2502730644191615e-05,3.2557265512878075e-05,0.0,0.0,5.5509449339297134e-06,0.0001077321867342107,1.359570069325855e-05,0.00010342109453631565,9.01490420801565e-05,0.0,1.5274967154255137e-05,0.0,8.985575732367579e-06,0.0,0.0,0.0,0.0,0.0,1.4408450397240813e-06,1.8971161352965282e-06,2.030880295933457e-06
200002,5.7454231864539906e-05,1.2608091992660775e-06,3.9976825405574345e-07,3.1069541819306323e-06,5.249353307590354e-06,7.091173870321654e-07,7.309241482289508e-06,1.2349151802482083e-05,0.0,0.0,0.0,8.734537573218404e-07,4.606289439834654e-05,1.1406395969970617e-06,3.9739814383210614e-05,2.5585138700989773e-06,3.6500867281574756e-05,4.313463705329923e-06,2.4989635676320177e-06,2.746424570432282e-06,0.0,1.1045362953154836e-06,7.438325724251627e-07,1.9788867575698532e-05,4.840500196223729e-07,6.12408121014596e-06,4.595574409904657e-07,5.394591880758526e-06,0.0,5.866037895430054e-07,1.8910264998339699e-07,0.0,0.0,0.0,8.479295502183959e-06,2.4700657377252355e-06,0.0,0.0,0.0,0.0,2.071772314593545e-06,9.481610163675214e-07,0.0,2.0433039935596753e-06,0.0,0.0,0.0,0.0,0.0003436959523241967,9.643079101806507e-05,1.1373880624887533e-05,9.02783631318016e-06,0.0,2.0826482796110213e-05,0.0,0.0,9.147024115918612e-07,0.0,0.0,3.7358887539085117e-07,0.0,0.0,9.26806933421176e-06,1.0393254342488945e-05,6.748504802089883e-06,0.00011770565470214933,0.00010849507816601545,4.520742368185893e-05,1.1503167115733959e-05,0.0,1.6878026144695468e-05,2.3619916191819357e-06,3.925949272343132e-07,2.468131015120889e-06,0.0,0.0,0.0,0.0,0.0,2.1592852306184795e-07,0.0,5.050818572271965e-07,1.1365695172571577e-05,0.0,5.724173661292298e-06,8.117922902783903e-07,0.0,0.00035269331419840455,7.444384095833811e-07,6.550236548719113e-07,0.0,0.0,2.658276935108006e-05,3.015374568349216e-05,3.5465648124954896e-06,0.0,2.499353058738052e-06,5.445113856694661e-05,3.515632670314517e-06,0.00014335813466459513,6.198539631441236e-05,0.0,3.450488657108508e-05,0.0,3.011660510310321e-06,0.0,0.0,0.0,1.3501794455805793e-06,0.0,3.893552730005467e-06,3.3914868708961876e-06,4.0444842852593865e-06
200003,9.113468695431948e-05,9.884129212878179e-07,0.0,0.0,5.966959179204423e-06,1.2991811217943905e-06,1.755800076352898e-05,1.0079834282805678e-05,0.0,0.0,0.0,1.626756670702889e-06,9.26390384847764e-06,2.6586881176626775e-06,5.157106352271512e-05,2.8539998311316594e-06,1.55857178469887e-05,6.734097496519098e-06,1.5640208630429697e-06,1.3188537195674144e-06,5.240244718152098e-07,0.0,4.141955685099674e-07,8.644600711704697e-06,0.0,9.970505743694957e-06,0.0,1.4152119547361508e-05,0.0,4.481704252157215e-07,1.1208612704649568e-06,0.0,1.5816079894648283e-06,5.180643825042353e-07,2.5629702577134594e-05,7.040119726298144e-06,0.0,0.0,0.0,0.0,8.078797691268846e-06,0.0,0.0,0.0,4.7407877445948543e-07,3.2046843898569932e-06,4.015542458546406e-07,1.2853901125708944e-06,0.00028389604995027184,3.693229882628657e-05,2.3325617803493515e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7012960142892553e-06,0.0,1.0254351536786999e-06,2.5861831090878695e-05,6.506673344119918e-06,4.37740118286456e-06,0.00017047350411303341,0.00012533774133771658,8.161181176546961e-05,6.466088507295353e-06,0.0,5.069632607046515e-06,1.0615951850923011e-06,0.0,1.0801708185681491e-06,3.5040759485127637e-06,0.0,0.0,0.0,0.0,0.0,5.613294433715055e-07,0.0,3.1138919439399615e-05,0.0,8.069843715929892e-06,4.485908448259579e-06,0.0,0.000241935282247141,2.774097254132357e-07,0.0,0.0,0.0,1.15597194962902e-05,4.811658072867431e-05,0.0,1.0792533657877357e-06,4.591181095747743e-06,6.185178062878549e-05,2.3574186798214214e-06,0.00013174349442124367,4.277853440726176e-05,0.0,3.3575102861505e-05,0.0,6.167918400024064e-06,0.0,0.0,0.0,4.813377017853782e-06,0.0,7.709634701313917e-06,2.495269200153416e-06,2.231761573057156e-05
200004,7.000577170401812e-05,1.8295448853677954e-06,0.0,3.528136403474491e-06,0.0,6.828939831393654e-07,1.1688385711750016e-05,9.886319276120048e-06,0.0,0.0,0.0,5.264605988486437e-06,2.3692340619163588e-05,0.0,3.188678965670988e-05,1.6613668094578316e-06,2.092482100124471e-05,2.1956227556074737e-06,3.8737081808903895e-07,9.030159162648488e-07,0.0,0.0,1.7496927284810226e-06,1.7231519450433552e-05,1.0284585982844874e-07,1.0398856829851866e-05,1.1839937315016869e-06,1.5582974810968153e-05,0.0,1.3951687378721545e-06,3.0428836339524423e-07,0.0,4.87853242248093e-07,1.0806179489009082e-06,1.5498506400035694e-05,3.1268552902474767e-06,0.0,0.0,0.0,0.0,2.7215448881179327e-06,0.0,8.229087598010665e-07,6.720904934809369e-07,1.071139536179544e-06,0.0,0.0,4.7653330170760455e-07,0.0002371310256421566,2.0476136342040263e-05,1.7235086488653906e-05,1.1009565241693053e-06,0.0,9.755918654263951e-06,0.0,0.0,0.0,2.875942755053984e-07,1.0659421150194248e-06,1.6749129372328753e-06,0.0,2.143699020962231e-06,2.4201606720453128e-05,6.91552759235492e-06,5.086551027488895e-06,0.00019939827325288206,0.0001410526456311345,7.19665622455068e-05,7.713245395279955e-06,0.0,4.561037258099532e-06,2.1043433662271127e-06,0.0,2.5303231723228237e-06,4.47518732471508e-06,0.0,0.0,0.0,0.0,0.0,2.721777491387911e-06,0.0,4.163059202255681e-05,0.0,3.3159760732814902e-06,1.552751086819626e-06,1.0371471717007807e-06,0.00020222700550220907,7.702961397626495e-07,1.2161355016360176e-06,0.0,0.0,8.409150723309722e-06,5.264924402581528e-05,0.0,0.0,6.783299795642961e-06,5.590073487837799e-05,1.2921021834699786e-06,0.000209944904781878,4.6596527681685984e-05,0.0,2.828447031788528e-05,0.0,2.7962335025222274e-06,0.0,0.0,0.0,4.99016778121586e-06,0.0,0.0,3.427515821385896e-06,2.266584306198638e-05
200005,7.691708742640913e-05,2.788898711969523e-07,1.5707379361629137e-06,9.878021955955774e-07,0.0,2.1873563582630595e-06,1.2706803317996673e-05,1.037471793097211e-05,4.999215548195934e-07,8.244661557910149e-07,0.0,3.459473646216793e-06,6.11114883213304e-05,4.5853695951336704e-07,3.455099431448616e-05,2.0260090423107613e-06,2.711870001803618e-05,1.5918881217658054e-06,1.216165173900663e-06,2.7468502139527118e-06,0.0,2.132042482116958e-06,8.926984378376801e-07,2.329044946236536e-05,0.0,7.310500677704113e-06,0.0,7.266644843184622e-06,0.0,1.2214674143251614e-06,0.0,0.0,0.0,5.32539957021072e-07,1.4058216947887558e-05,3.5029163427680032e-06,0.0,0.0,0.0,0.0,9.537483265376068e-07,0.0,8.326743028419514e-08,1.9041257814933488e-07,4.146836261043063e-07,0.0,0.0,0.0,0.00026255042757838964,2.7449965273262933e-05,1.2212029105285183e-05,4.572794750856701e-06,0.0,1.670615529292263e-05,0.0,0.0,0.0,4.089600054157927e-07,0.0,6.213981578184757e-06,0.0,6.817109579060343e-07,1.3912350368627813e-05,3.984368231613189e-05,4.919894308841322e-06,0.00015743488620501012,0.0001118546279030852,8.137294207699597e-05,1.5993608030839823e-05,0.0,1.3054930604994297e-05,3.468419208729756e-06,0.0,4.135003564442741e-06,1.2358549383861828e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.75527849377977e-07,1.511225309513975e-05,0.0,1.702924350865942e-06,7.246408131322823e-07,0.0,0.0003705849521793425,7.483349122594518e-07,0.0,1.1398814194762963e-06,0.0,1.4455943528446369e-05,4.4305052142590284e-05,0.0,0.0,1.928018491526018e-06,1.730511212372221e-05,0.0,0.00017345190281048417,2.3823609808459878e-05,3.4104448332072934e-06,5.0849241233663633e-05,0.0,2.763015118034673e-06,0.0,0.0,0.0,4.315795649745269e-06,0.0,5.090524609840941e-06,6.155843038868625e-06,3.794089570874348e-05
200006,9.8353237262927e-05,6.932833116479742e-07,0.0,6.1263685893209185e-06,4.439766598807182e-06,8.199427270483284e-07,4.430142325873021e-06,1.9440059986663982e-05,0.0,0.0,0.0,2.2099284251453355e-06,2.1469384591910057e-05,1.99934311240213e-06,3.0478413464152254e-05,1.8189583670391585e-06,2.811657395795919e-05,0.0,0.0,4.684359737439081e-06,0.0,9.825173492572503e-07,1.6988036577458843e-06,3.668373392429203e-05,0.0,4.256573447491974e-06,5.517470071936259e-07,5.893612978979945e-06,0.0,6.472058089457278e-07,1.4815908571108594e-06,0.0,2.7149712877871934e-06,0.0,1.2353656529739965e-05,6.376417900355591e-07,0.0,0.0,0.0,0.0,2.410182105450076e-06,0.0,0.0,2.080407028870468e-07,0.0,3.915082288585836e-06,3.079493069435557e-07,0.0,0.00026903313118964434,3.3300002542091534e-05,1.2032170161546674e-05,5.877465810044669e-06,0.0,7.78419416747056e-06,0.0,4.009453959952225e-07,0.0,0.0,0.0,1.8563745243227459e-06,0.0,0.0,1.785298445611261e-05,1.9603561668191105e-05,5.233892807154916e-06,0.00021219710470177233,0.0001626874291105196,7.359639857895672e-05,1.0847425073734485e-05,0.0,4.196736881567631e-06,3.858240688714432e-06,0.0,3.5191485494578956e-06,4.7805015128687955e-06,0.0,0.0,0.0,0.0,0.0,3.0363119662979443e-07,0.0,1.2809797226509545e-05,0.0,5.713742439183989e-07,1.2669038369494956e-06,0.0,0.0003623884404078126,2.0711211163870757e-06,0.0,0.0,0.0,2.522123213566374e-05,4.161964898230508e-05,0.0,3.345148513744789e-07,4.202548097964609e-06,2.90487332677003e-06,8.249733696175099e-07,0.00012352594058029354,3.663401730591431e-05,0.0,4.820187314180657e-05,6.553592015734466e-07,8.107539542834274e-06,0.0,0.0,0.0,2.925887429228169e-06,0.0,6.328413746814476e-06,7.329936579481e-06,4.786420686286874e-05
200007,8.48438503453508e-05,1.528523853266961e-06,4.388109573483234e-06,3.393287215658347e-06,3.362597453815397e-06,3.444918093009619e-06,3.1204278911900474e-06,4.386017280921806e-06,0.0,0.0,0.0,3.986822321166983e-06,0.0002180878072977066,1.2732616596622393e-06,3.2706699130358174e-05,2.0975198822270613e-06,1.6867101294337772e-05,1.1243424751228304e-06,2.0836116618738743e-06,4.1616121961851604e-06,0.0,3.783714532801241e-07,6.279042850110272e-07,3.442391243879683e-05,0.0,3.6408800951903686e-06,0.0,0.0,0.0,1.3809483334625838e-07,3.1187844342639437e-06,0.0,3.877389076478721e-07,0.0,2.188506186939776e-05,3.046605797862867e-06,8.707296501597739e-07,0.0,0.0,0.0,1.32345303427428e-06,0.0,0.0,5.9236668903395184e-08,0.0,4.2567862692521885e-06,0.0,0.0,0.00023803395743016154,5.665170101565309e-05,1.3390247659117449e-05,5.094501375424443e-06,0.0,2.523356442907243e-06,0.0,0.0,0.0,0.0,0.0,1.6997570355670177e-06,0.0,1.161696445706184e-06,1.0296049367752858e-05,4.112884926144034e-05,6.543369181599701e-06,0.00016466474335175008,0.00012392700591590255,7.862900383770466e-05,1.690469798631966e-05,0.0,9.924351616064087e-06,2.836916564774583e-06,7.536773409810849e-07,3.903558535967022e-06,0.0,0.0,0.0,0.0,1.5529727193097642e-07,0.0,7.888621098572912e-07,0.0,1.7163509255624376e-05,0.0,4.962535058439244e-07,9.328131795882655e-07,5.528704036805721e-07,0.0003969110839534551,8.83977065768704e-07,3.0870569389662705e-06,0.0,0.0,3.025786099897232e-05,3.815332820522599e-05,4.2454732351870916e-07,4.16019361182407e-07,9.302779290010221e-06,1.622980789761641e-06,1.2511537761383806e-06,0.0001769468653947115,3.540715988492593e-05,6.309436230367282e-06,1.0093146556755528e-05,3.4728702758002328e-06,7.449486929544946e-06,0.0,0.0,0.0,5.902324119233526e-06,0.0,1.66421687026741e-05,6.731693702022312e-06,3.535505311447196e-05
200008,9.558198507875204e-05,0.0,2.34383401220839e-06,0.0,9.82478240985074e-07,9.481553206569515e-06,3.1589022455591476e-06,4.5171041165303905e-06,0.0,0.0,0.0,1.6191631857509492e-06,0.00014619517605751753,0.0,6.529617530759424e-05,2.4077507987385616e-06,3.229222784284502e-05,2.165655132557731e-06,1.2249385008544778e-06,2.9423301839415217e-06,0.0,4.591886693106062e-07,1.6901335584407207e-06,3.2798590837046504e-05,2.6097035288330517e-07,8.490601430821698e-06,0.0,1.211417270496895e-06,0.0,0.0,4.165814289081027e-07,0.0,1.0011982567448285e-06,0.0,2.6722955226432532e-05,2.0224551917635836e-06,0.0,0.0,4.3990692688566924e-07,0.0,2.1338241822377313e-06,0.0,6.613573191316391e-07,2.2111348130238184e-07,2.4890420036172145e-07,1.1325694686092902e-05,0.0,0.0,0.0002336167817702517,4.087467095814645e-05,2.027712616836652e-05,1.793991714293952e-06,0.0,2.1591793483821675e-05,0.0,0.0,0.0,0.0,2.3689194676990155e-06,0.0,0.0,0.0,1.1142124094476458e-05,3.881815791828558e-05,2.725960257521365e-06,0.00017540331464260817,0.00012683118984568864,8.317634637933224e-05,1.590795181982685e-05,0.0,3.240571459173225e-06,3.2950877084658714e-06,0.0,5.476866249409795e-07,2.155181391572114e-06,0.0,0.0,0.0,0.0,0.0,4.612436441675527e-07,0.0,1.1447593351476826e-05,0.0,5.242308702690934e-07,1.6826912769829505e-06,5.421497917268425e-07,0.0003920353774446994,1.4601115481127636e-06,3.51283074451203e-06,4.2210385799990036e-06,0.0,1.865306512627285e-05,4.7645233280491084e-05,2.362349960094434e-06,6.300003292381007e-07,1.0761707926576491e-05,2.885397179852589e-06,2.9827122034475906e-06,0.000124303565826267,2.783103809633758e-05,6.1999144236324355e-06,1.1378276212781202e-05,0.0,7.039276624709601e-06,0.0,0.0,1.56351438818092e-06,4.462304787011817e-06,0.0,4.36335540143773e-06,3.835762072412763e-06,4.6008204662939534e-05
200009,0.00010225296136923134,0.0,8.153231647156645e-06,3.516196102282265e-06,4.986794010619633e-06,2.8382719392539e-06,5.812289600726217e-06,3.2605998967483174e-06,0.0,0.0,5.881527158635436e-07,1.968361630133586e-06,0.00014613912208005786,1.4330476005852688e-06,4.9331058107782155e-05,1.821880914576468e-06,4.213668580632657e-05,3.949314475448773e-07,0.0,2.6243326374242315e-06,2.9467824447237945e-07,2.1676503365597455e-06,1.9916419091714488e-07,4.174741479801014e-05,4.155099588842859e-07,1.1746048585337121e-05,5.119993033986248e-07,1.884570792753948e-06,0.0,0.0,2.1994335384079022e-06,0.0,0.0,0.0,1.1548089787538629e-05,2.9977468329889234e-06,0.0,0.0,0.0,0.0,1.5347674207077944e-06,0.0,0.0,0.0,9.409357630829618e-07,1.3818514617014444e-06,4.8890524340095e-06,0.0,0.00024978863075375557,2.7554789994610474e-05,1.1284902029728983e-05,4.607730261341203e-06,0.0,4.41588053945452e-06,0.0,0.0,0.0,0.0,0.0,7.285806532308925e-06,0.0,0.0,1.070483176590642e-05,3.759111132239923e-05,5.66190283279866e-06,0.00018353982886765152,0.0001593881897861138,6.244709220482036e-05,1.5420540876220912e-05,6.212846415110107e-07,6.670963557553478e-06,6.244284577405779e-06,0.0,6.167725132399937e-06,1.5768057437526295e-06,0.0,0.0,0.0,9.682726158644073e-07,0.0,0.0,0.0,1.900962342915591e-05,0.0,0.0,0.0,4.939530526826275e-07,0.0003793654905166477,1.9457595499261515e-06,1.4025968084752094e-06,0.0,0.0,2.0109744582441635e-05,3.3569631341379136e-05,0.0,0.0,5.819391390105011e-06,9.58751684265735e-07,1.2101195352443028e-06,0.00011523442663019523,4.976069612894207e-05,4.449839707376668e-06,1.2868722478742711e-05,0.0,7.25734344086959e-06,0.0,0.0,1.1503460655148956e-06,7.506796919187764e-06,0.0,3.595456973926048e-06,3.835754796455149e-06,5.47415875189472e-05
200010,7.960163202369586e-05,0.0,5.8300270211475436e-06,0.0,5.111732207296882e-06,9.406113576915232e-07,4.58794283986208e-06,4.402324520924594e-06,4.3679656300810166e-06,1.9961983070970746e-06,0.0,5.859090492776886e-07,2.6217059712507762e-05,1.1450566717030597e-06,3.519464371493086e-05,0.0,3.823335646302439e-05,1.7301297248195624e-06,8.538272595615126e-07,2.8382501113810576e-06,0.0,4.6037524725761614e-07,7.847002052585594e-07,4.0314600482815877e-05,1.723673790365865e-07,3.5540663247957127e-06,1.1392197620807565e-06,1.2455686828616308e-06,0.0,3.146937217479717e-07,1.6684501815689146e-06,0.0,0.0,0.0,2.567730007285718e-05,4.77650746688596e-06,2.6891308380072587e-07,0.0,0.0,0.0,4.492088919505477e-06,0.0,0.0,0.0,0.0,3.081533805016079e-06,0.0,0.0,0.00024769504670985043,6.693959676340455e-06,6.8343210841703694e-06,2.3982270249689464e-06,0.0,1.5242319022945594e-05,0.0,0.0,0.0,4.613532098574069e-07,8.599208740633912e-07,4.317003913456574e-06,0.0,0.0,5.353258984541753e-06,3.819668563664891e-05,7.2443731369276065e-06,0.0002437069924781099,0.0002149371721316129,8.454361523035914e-05,2.488297104719095e-05,6.354457582347095e-07,1.7516107618575916e-05,1.250136938324431e-05,0.0,5.0903372539323755e-06,0.0,0.0,0.0,2.023002707574051e-06,7.358627271969453e-07,0.0,5.688913233825588e-07,4.901570491711027e-07,3.654314059531316e-05,0.0,0.0,1.446326450604829e-06,0.0,0.00037183467065915465,2.037944568655803e-06,2.075966449410771e-06,0.0,0.0,1.7143343939096667e-05,3.773269781959243e-05,0.0,0.0,2.190452960348921e-06,1.8353078985455795e-06,3.407930535104242e-06,0.00011000505764968693,3.3208609238499776e-05,6.311479864962166e-06,6.237455181690166e-06,0.0,6.6946754486707505e-06,0.0,0.0,0.0,0.0,0.0,4.934484877594514e-06,8.061779226409271e-06,5.048471211921424e-05
