feature,d_bar,std_err,t_stat,p_value,n_obs,abs_d_bar
DolVol,-0.4128295222405187,0.0040329374552048125,-102.36447423892747,0.0,635,0.4128295222405187
Size,-0.4074293607439081,0.003131917894598303,-130.08941308666223,0.0,635,0.4074293607439081
Illiquidity,-0.3984960803834746,0.0039979601350226745,-99.67485090523908,0.0,635,0.3984960803834746
VolSD,-0.3490657171801523,0.004069391050357639,-85.77836655670498,0.0,635,0.3490657171801523
Price,-0.33830461195301587,0.0034795153495330742,-97.22750957210575,0.0,635,0.33830461195301587
PriceDelayRsq,-0.27356678381730704,0.005703306440505171,-47.96634841053286,0.0,635,0.27356678381730704
zerotrade12M,-0.25352948401969305,0.006351567900055818,-39.916047188516245,0.0,635,0.25352948401969305
zerotrade6M,-0.25326138495406425,0.006062615425014464,-41.77427845894745,0.0,635,0.25326138495406425
zerotrade1M,-0.24388206092287462,0.005199304771080668,-46.90666765283392,0.0,635,0.24388206092287462
BidAskSpread,-0.17962494419146918,0.007955582584049853,-22.578477728532317,7.053660302725741e-113,635,0.17962494419146918
FEPS,0.1788223702003739,0.006982814801533336,25.60892351908099,1.2135139277092008e-144,635,0.1788223702003739
IdioVolAHT,0.17519387744904125,0.005769736254332488,30.364278318179338,1.6279962957203805e-202,635,0.17519387744904125
RoE,0.1384602384386347,0.0034464841915838504,40.17434311079911,0.0,635,0.1384602384386347
RDS,-0.132184382309552,0.006634027581496815,-19.925208432692056,2.460199554186973e-88,635,0.132184382309552
CBOperProf,0.13012573464391547,0.00293005914678451,44.41061703027987,0.0,635,0.13012573464391547
roaq,0.12871432964594232,0.0038244523370606865,33.6556239434969,2.5798702804009865e-248,635,0.12871432964594232
IdioVol3F,0.12690049665942726,0.005152565853394975,24.628602577842607,6.240300177607725e-134,635,0.12690049665942726
BMdec,-0.12327972062535941,0.006395328387292805,-19.276527045946537,8.456728875454953e-83,635,0.12327972062535941
BM,-0.11940036479546962,0.006193637738352437,-19.277905786467773,8.23433839493541e-83,635,0.11940036479546962
OptionVolume1,-0.11736373862866209,0.012000039588399972,-9.780279286921154,1.3683244082800298e-22,635,0.11736373862866209
AM,-0.11419103465447317,0.006325506602782439,-18.052472604209008,7.543670734919145e-73,635,0.11419103465447317
IntanBM,-0.11019622917479513,0.004619666851504542,-23.853717749994505,9.265661145265807e-126,635,0.11019622917479513
Frontier,-0.10924302745785924,0.004601670523901312,-23.73986292378939,1.3983488933333716e-124,635,0.10924302745785924
IntanSP,-0.10696131085363932,0.006343734087492015,-16.860938585766966,8.719334108435016e-64,635,0.10696131085363932
EBM,-0.10367946666038058,0.004984772230771929,-20.79923853297607,4.39734553136972e-96,635,0.10367946666038058
CashProd,-0.10241992043670534,0.00637986279619281,-16.053624303303913,5.3921247482575504e-58,635,0.10241992043670534
LRreversal,-0.10000311155242288,0.007068960663833906,-14.146791347143443,1.95474843231985e-45,635,0.10000311155242288
NetEquityFinance,0.09873270593754829,0.0042734186104259435,23.103916311092988,4.228757973376597e-118,635,0.09873270593754829
MomOffSeason,-0.09068619593934954,0.008343634605902107,-10.868907882806862,1.621299045381937e-27,635,0.09068619593934954
Mom12m,0.08972621146213448,0.0068578296965678435,13.083761981875986,4.077495160372946e-39,635,0.08972621146213448
RealizedVol,0.08221620221882793,0.005616080390229076,14.639427591148563,1.5738765967130557e-48,635,0.08221620221882793
Leverage,-0.07449526964883407,0.0059854005099793765,-12.44616287993245,1.4673159315588434e-35,635,0.07449526964883407
IntMom,0.07277098261524419,0.005994735221202062,12.139148758041756,6.5503937353827195e-34,635,0.07277098261524419
MaxRet,0.07227099603785346,0.004784323952189887,15.105790652987343,1.4831663129881345e-51,635,0.07227099603785346
AssetGrowth,-0.07204773209394637,0.0033107395319387964,-21.761824329247254,5.338189388574696e-105,635,0.07204773209394637
DelEqu,-0.0687516656269254,0.0036043343606624975,-19.074719142951114,4.096169812791057e-81,635,0.0687516656269254
EntMult,-0.06860735876108665,0.00668154824157043,-10.26818280443354,9.803381836297118e-25,635,0.06860735876108665
MeanRankRevGrowth,-0.06840118996445388,0.0027094497739294826,-25.24541721445253,1.2717182289906382e-140,635,0.06840118996445388
Mom12mOffSeason,0.06813600925904775,0.006734272958537253,10.117797374498988,4.6066565388035206e-24,635,0.06813600925904775
Mom6m,0.06790465133443532,0.0055234868713305695,12.293801527236647,9.77964568492266e-35,635,0.06790465133443532
ChEQ,-0.06687750741136277,0.0036499179571227685,-18.323016625853782,5.422227885790763e-75,635,0.06687750741136277
IntanEP,-0.0665180308350294,0.006980542975374863,-9.52906257717829,1.5870985201301777e-21,635,0.0665180308350294
CompEquIss,0.06489218109658343,0.007358571371967304,8.818584181134957,1.1591604201223608e-18,635,0.06489218109658343
Tax,0.06463875738126316,0.004214036249770633,15.338918212860985,4.201381345240124e-53,635,0.06463875738126316
IntanCFP,-0.06371872404289132,0.006413219329754161,-9.93552859595305,2.9162508832540626e-23,635,0.06371872404289132
XFIN,0.057449827234047665,0.004357877575904416,13.182983283353197,1.0995519461265093e-39,635,0.057449827234047665
DelCOL,-0.05730205057272065,0.002841368060261895,-20.16706366701363,1.9062614384051884e-90,635,0.05730205057272065
ForecastDispersion,0.056042299339713345,0.0031475310374859795,17.805161783083125,6.444576629985273e-71,635,0.056042299339713345
grcapx3y,-0.05453344863185298,0.002861801906556895,-19.055633622616295,5.899790193279015e-81,635,0.05453344863185298
EP,-0.05304604180625023,0.006897773328845196,-7.690313855983295,1.4677452674167962e-14,635,0.05304604180625023
InvestPPEInv,-0.05150443261324962,0.0026996116401459816,-19.078459970806957,3.813300455507434e-81,635,0.05150443261324962
MomOffSeason06YrPlus,-0.050303868665555106,0.006958277573778705,-7.229356422215491,4.852882598052574e-13,635,0.050303868665555106
NetPayoutYield,0.04840102057005957,0.005666789842560925,8.541170912416662,1.3286852031251967e-17,635,0.04840102057005957
hire,-0.04837845011473539,0.003690203777201283,-13.109967100902617,2.8872364005803783e-39,635,0.04837845011473539
EquityDuration,-0.04758877952415986,0.006587672610320336,-7.223913867487379,5.05122580310522e-13,635,0.04758877952415986
ChTax,0.04580784573128262,0.00396198641174445,11.561838171755255,6.431706790644668e-31,635,0.04580784573128262
OPLeverage,-0.04572329321780921,0.0028278790219346274,-16.16875858661333,8.376933301698862e-59,635,0.04572329321780921
dNoa,-0.04214836330893268,0.0030865882515970873,-13.655324219913018,1.8765228064163403e-42,635,0.04214836330893268
