feature,delta_bar,std_err,t_stat,p_value,n_months,abs_delta_bar
DolVol,-3.2449937575286665,0.07698365363650937,-42.15172447972427,0.0,431,3.2449937575286665
Size,-2.9427221643124155,0.07387542485264435,-39.83357348106109,0.0,431,2.9427221643124155
zerotrade1M,-1.6273749997717926,0.015822503650126093,-102.85192759357167,0.0,431,1.6273749997717926
RealizedVol,-1.3908437864690404,0.09853183205356793,-14.1156797502039,3.0406974484759575e-45,431,1.3908437864690404
VolSD,-1.2216625042063138,0.048369338983132205,-25.256960915515986,9.497286301071144e-141,431,1.2216625042063138
IdioVolAHT,0.9569977185188845,0.029855515674751767,32.0543020909265,1.912308207561852e-225,431,0.9569977185188845
Price,-0.6839512668146308,0.055438861946771556,-12.337036562390333,5.722351777664501e-35,431,0.6839512668146308
Illiquidity,-0.4332554704657383,0.11888431040936866,-3.6443452375999623,0.0002680733841219298,431,0.4332554704657383
MaxRet,0.41853189473480473,0.04491919624829876,9.317439528999941,1.1918162819115087e-20,431,0.41853189473480473
IdioVol3F,-0.3282332444436201,0.06153780279882423,-5.333847318479357,9.615338129101227e-08,431,0.3282332444436201
BidAskSpread,-0.31668870251129,0.03957429821629501,-8.002383283726585,1.2203382711554721e-15,431,0.31668870251129
STreversal,-0.2637489752240911,0.012476416942085901,-21.139801310615347,3.425167058953598e-99,431,0.2637489752240911
AM,-0.17154100650628754,0.04258081063378052,-4.028598891215081,5.611025767625133e-05,431,0.17154100650628754
Herf,0.1420999734720917,0.008596251197677408,16.530458475955797,2.21452798329791e-61,431,0.1420999734720917
NOA,0.12889647338337895,0.004843652560713532,26.611420156112693,5.007286715938246e-156,431,0.12889647338337895
HerfBE,-0.11700858128331867,0.008043747296025033,-14.546526261602057,6.144494391860302e-48,404,0.11700858128331867
Mom12mOffSeason,0.1021538013305347,0.01593636369534882,6.4101073044881165,1.4541725034090174e-10,431,0.1021538013305347
NetEquityFinance,0.09157918728917483,0.006600535764180171,13.87450815525572,9.041113100566348e-44,431,0.09157918728917483
Mom6m,0.08818992681575755,0.008883935629510406,9.926898448342055,3.1799290615493893e-23,431,0.08818992681575755
zerotrade12M,0.08609633001681483,0.06072113703709674,1.4178971972184162,0.156220780812939,431,0.08609633001681483
std_turn,-0.08534994560051701,0.058155735740185927,-1.4676101078287922,0.14221016080262194,103,0.08534994560051701
ShareIss1Y,-0.08371445311625825,0.009248097228950349,-9.052073204226009,1.4027920847328307e-19,431,0.08371445311625825
DelEqu,0.08090351096479227,0.010235726594751157,7.904032040703324,2.7002357101282245e-15,431,0.08090351096479227
ReturnSkew,-0.07792301423670173,0.0187064965160395,-4.1655589634268635,3.105906331879044e-05,431,0.07792301423670173
Beta,-0.0707752836931034,0.009467726643575071,-7.475425343118929,7.695453741304101e-14,431,0.0707752836931034
CF,0.06648325210836152,0.01131423967335546,5.8760689209127035,4.201234677420303e-09,431,0.06648325210836152
IntanSP,-0.06563061437034486,0.01486042012631072,-4.416470988874959,1.0032535870373062e-05,123,0.06563061437034486
zerotrade6M,-0.06495741132640939,0.017809158231578096,-3.647416148576351,0.0002648907156248238,431,0.06495741132640939
grcapx3y,-0.06292977972218468,0.008273346774678853,-7.606326851279291,2.8199559067204565e-14,293,0.06292977972218468
ShareIss5Y,0.05072407571943076,0.012961180049850883,3.913538391129312,9.095343199347591e-05,274,0.05072407571943076
Accruals,0.050031571532924576,0.006808450851967575,7.348451596513463,2.00516051271574e-13,431,0.050031571532924576
MomOffSeason,0.049368469951782575,0.005420070713777909,9.108454955446819,8.356347569029439e-20,431,0.049368469951782575
DelFINL,-0.044856533965252784,0.006834387602594722,-6.563358207577032,5.260926089961228e-11,431,0.044856533965252784
IntanBM,-0.04418763147351945,0.015478991070177596,-2.8546842150877003,0.004307963985792009,73,0.04418763147351945
ForecastDispersion,-0.044111892061393446,0.012715950116202926,-3.4690205339186697,0.0005223595281331579,153,0.044111892061393446
RDS,-0.04326623309636053,0.0063819620216614865,-6.779456372430207,1.206289167716056e-11,431,0.04326623309636053
IntanEP,0.04221421855432868,0.01702773698474396,2.4791443861360203,0.013169798219303131,123,0.04221421855432868
Cash,-0.041198459093303844,0.006963153140783632,-5.916638376370303,3.285880395024173e-09,402,0.041198459093303844
NetDebtFinance,0.04019043614315728,0.008064480008026913,4.983636403482191,6.240028798899567e-07,431,0.04019043614315728
IndRetBig,0.0384574268997569,0.005708102455701045,6.7373399826324105,1.613124336151819e-11,272,0.0384574268997569
CompositeDebtIssuance,-0.03710874264612059,0.0046278560246758365,-8.018560311352795,1.0699174714957561e-15,217,0.03710874264612059
CompEquIss,-0.03604162639814855,0.01169316106650992,-3.0822825575690085,0.002054197469125267,303,0.03604162639814855
Mom12m,0.03439726957659534,0.01951619583581693,1.7624986890871452,0.07798507767483931,431,0.03439726957659534
