yyyymm,R2,N_stocks,N_features
197201,0.9086578730323785,2560,143
197202,0.8992378372308366,2570,143
197203,0.9125809122600549,2581,143
197204,0.887030354147296,2590,143
197205,0.9185590874605362,2605,143
197206,0.887896404883099,2608,143
197207,0.9201676782309457,2618,143
197208,0.9161708474176602,2636,143
197209,0.8847781577923105,2650,143
197210,0.9216257740242457,2660,143
197211,0.9299784347486844,2675,143
197212,0.9000299150376878,5655,143
197301,0.9002311758807452,5669,143
197302,0.910323172953384,5649,143
197303,0.90266338148474,5619,143
197304,0.8696211445358498,5558,143
197305,0.8967510106493816,5515,143
197306,0.9147050767207396,5484,143
197307,0.8838546747506454,5443,143
197308,0.9080909076511992,5398,143
197309,0.91504434108069,5398,143
197310,0.9149038242461683,5305,143
197311,0.909244142921825,5226,143
197312,0.9262940569266304,5205,143
197401,0.9118353146991292,5179,143
197402,0.9116042596140369,5173,143
197403,0.8921385217824201,5159,143
197404,0.9182461421283048,5130,143
197405,0.8836547121401215,5107,143
197406,0.901000716994479,5086,143
197407,0.9180153988049646,5043,143
197408,0.9206577390197418,5004,143
197409,0.9218851204081818,4967,143
197410,0.9192031208117821,4927,143
197411,0.8930030725709797,4891,143
197412,0.9245603785163168,4869,143
197501,0.9253355232959343,4884,143
197502,0.9120729922664902,4895,143
197503,0.9113731825226485,4898,143
197504,0.9192424692106753,4886,143
197505,0.9055431375138523,4888,143
197506,0.9028931222851345,4905,143
197507,0.9065083465849838,4924,143
197508,0.9041723482579973,4925,143
197509,0.9124237517169966,4930,143
197510,0.9213849761027627,4924,143
197511,0.9069301815599845,4919,143
197512,0.9133032492511406,4833,143
197601,0.9316896391170901,4930,143
197602,0.913494773321299,4892,143
197603,0.9174174049897554,4928,143
197604,0.9277274437670481,4930,143
197605,0.9126596204994724,4928,143
197606,0.9235863252570644,4962,143
197607,0.9221018361622066,4687,143
197608,0.9124981992513375,4983,143
197609,0.9334219595528486,4967,143
197610,0.9208083558207001,5012,143
197611,0.935181707749208,4998,143
197612,0.8867025018811694,4936,143
197701,0.9014476596218086,4986,143
197702,0.8869039603785305,4972,143
197703,0.8958689458104723,4978,143
197704,0.8850796969070369,4980,143
197705,0.9048313802077125,4977,143
197706,0.9012422590365107,4959,143
197707,0.8990597415959286,4948,143
197708,0.9012750775975739,4932,143
197709,0.8830693062019848,4922,143
197710,0.9005143260327777,4928,143
197711,0.8918448755370009,4910,143
197712,0.9115900602343803,4879,143
197801,0.8985793615718419,4880,143
197802,0.8747416063901696,4853,143
197803,0.898545837699992,4865,143
197804,0.9069847731814145,4857,143
197805,0.8924154483444418,4830,143
197806,0.9047190055903468,4825,143
197807,0.8810057511937368,4811,143
197808,0.869861175399139,4822,143
197809,0.8860633284037933,4831,143
197810,0.8937325015822508,4832,143
197811,0.8821574098007229,4832,143
