feature,delta_bar,std_err,t_stat,p_value,n_months,abs_delta_bar
DolVol,-3.2449937575286665,0.07698365363650937,-42.15172447972427,0.0,431,3.2449937575286665
Size,-2.9427221643124155,0.07387542485264435,-39.83357348106109,0.0,431,2.9427221643124155
zerotrade1M,-1.6273749997717926,0.015822503650126093,-102.85192759357167,0.0,431,1.6273749997717926
RealizedVol,-1.3908437864690404,0.09853183205356793,-14.1156797502039,3.0406974484759575e-45,431,1.3908437864690404
VolSD,-1.2216625042063138,0.048369338983132205,-25.256960915515986,9.497286301071144e-141,431,1.2216625042063138
IdioVolAHT,0.9569977185188845,0.029855515674751767,32.0543020909265,1.912308207561852e-225,431,0.9569977185188845
Price,-0.6839512668146308,0.055438861946771556,-12.337036562390333,5.722351777664501e-35,431,0.6839512668146308
Illiquidity,-0.4332554704657383,0.11888431040936866,-3.6443452375999623,0.0002680733841219298,431,0.4332554704657383
MaxRet,0.41853189473480473,0.04491919624829876,9.317439528999941,1.1918162819115087e-20,431,0.41853189473480473
IdioVol3F,-0.3282332444436201,0.06153780279882423,-5.333847318479357,9.615338129101227e-08,431,0.3282332444436201
BidAskSpread,-0.31668870251129,0.03957429821629501,-8.002383283726585,1.2203382711554721e-15,431,0.31668870251129
STreversal,-0.2637489752240911,0.012476416942085901,-21.139801310615347,3.425167058953598e-99,431,0.2637489752240911
AM,-0.17154100650628754,0.04258081063378052,-4.028598891215081,5.611025767625133e-05,431,0.17154100650628754
Herf,0.1420999734720917,0.008596251197677408,16.530458475955797,2.21452798329791e-61,431,0.1420999734720917
NOA,0.12889647338337895,0.004843652560713532,26.611420156112693,5.007286715938246e-156,431,0.12889647338337895
