feature,x,training_density,deployment_density_volvw,deployment_density_mcap
Illiquidity,0.0,1.0,10.852140990817377,9.020369751356398
Illiquidity,0.0033444816053511705,1.0,11.598828125402289,9.540381554996051
Illiquidity,0.006688963210702341,1.0,12.072148683287566,9.906172571771304
Illiquidity,0.010033444816053512,1.0,12.253484354566316,10.106123582714531
Illiquidity,0.013377926421404682,1.0,12.15022713966597,10.138957971260933
Illiquidity,0.016722408026755852,1.0,11.793131525346588,10.013375047621096
Illiquidity,0.020066889632107024,1.0,11.230450989010812,9.746662774252085
Illiquidity,0.023411371237458192,1.0,10.520229027070908,9.362535758608274
Illiquidity,0.026755852842809364,1.0,9.722331076435013,8.888538837130522
Illiquidity,0.030100334448160536,1.0,8.89161963643284,8.353385247897823
Illiquidity,0.033444816053511704,1.0,8.073198937264104,7.7845625060218415
Illiquidity,0.03678929765886287,1.0,7.300062024516386,7.206453186532653
Illiquidity,0.04013377926421405,1.0,6.592935983870495,6.639104802911452
Illiquidity,0.043478260869565216,1.0,5.9617600457664395,6.0976678149036845
Illiquidity,0.046822742474916385,1.0,5.408088647710731,5.592424647026596
Illiquidity,0.05016722408026756,1.0,4.927759327599401,5.129268803774674
Illiquidity,0.05351170568561873,1.0,4.513333804772797,4.710465941450071
Illiquidity,0.056856187290969896,1.0,4.156031145840213,4.335534244232469
Illiquidity,0.06020066889632107,1.0,3.847062225312957,4.002110435866798
Illiquidity,0.06354515050167224,1.0,3.5784103624631785,3.7067089387597907
Illiquidity,0.06688963210702341,1.0,3.3431763783233714,3.4453245899821052
Illiquidity,0.07023411371237458,1.0,3.1356277866570266,3.2138661979653116
Illiquidity,0.07357859531772575,1.0,2.951079469019906,3.008434825885777
Illiquidity,0.07692307692307693,1.0,2.785704525317233,2.8254760193282893
Illiquidity,0.0802675585284281,1.0,2.6363417581366764,2.6618406405327217
Illiquidity,0.08361204013377926,1.0,2.5003375162527597,2.514787207422298
Illiquidity,0.08695652173913043,1.0,2.375437086172764,2.3819526511313285
Illiquidity,0.0903010033444816,1.0,2.2597247162782663,2.2613108054751416
Illiquidity,0.09364548494983277,1.0,2.1516010390388307,2.1511305920361954
Illiquidity,0.09698996655518395,1.0,2.0497814243490566,2.049939830160097
Illiquidity,0.10033444816053512,1.0,1.9532980483211961,1.956496275850859
Illiquidity,0.10367892976588629,1.0,1.8614914644873095,1.8697648179177992
Illiquidity,0.10702341137123746,1.0,1.7739831087304232,1.78889844198332
Illiquidity,0.11036789297658862,1.0,1.6906269362965232,1.7132202589427485
Illiquidity,0.11371237458193979,1.0,1.6114445945817466,1.6422042659954774
Illiquidity,0.11705685618729096,1.0,1.5365527476372391,1.5754533149971879
Illiquidity,0.12040133779264214,1.0,1.4660926090539166,1.5126738085484617
Illiquidity,0.12374581939799331,1.0,1.40017048181622,1.4536477563558596
Illiquidity,0.12709030100334448,1.0,1.3388149754986642,1.3982038303334643
Illiquidity,0.13043478260869565,1.0,1.2819528059944107,1.3461897828469946
Illiquidity,0.13377926421404682,1.0,1.2294018558563382,1.2974488870195093
Illiquidity,0.13712374581939799,1.0,1.1808782128407478,1.251802830501629
Illiquidity,0.14046822742474915,1.0,1.136013322885811,1.2090427507844457
Illiquidity,0.14381270903010032,1.0,1.094377781201252,1.1689289602619868
Illiquidity,0.1471571906354515,1.0,1.0555089946236844,1.1311985905607918
Illiquidity,0.1505016722408027,1.0,1.0189404317808235,1.095579159157701
Illiquidity,0.15384615384615385,1.0,0.9842302188714593,1.0618051869135439
Illiquidity,0.15719063545150502,1.0,0.9509865968322722,1.0296346568497399
Illiquidity,0.1605351170568562,1.0,0.9188876218029165,0.9988623646090428
Illiquidity,0.16387959866220736,1.0,0.8876928501625391,0.9693279970374562
Illiquidity,0.16722408026755853,1.0,0.8572457657062245,0.9409179022264422
Illiquidity,0.1705685618729097,1.0,0.8274672275050248,0.9135607348937694
Illiquidity,0.17391304347826086,1.0,0.7983418313503633,0.8872182277507253
Illiquidity,0.17725752508361203,1.0,0.7699002855729219,0.8618730614190095
Illiquidity,0.1806020066889632,1.0,0.7422013176725065,0.8375160841668763
Illiquidity,0.18394648829431437,1.0,0.7153161300039845,0.8141349722381747
Illiquidity,0.18729096989966554,1.0,0.6893171964609874,0.7917059125686455
Illiquidity,0.1906354515050167,1.0,0.6642716586077704,0.7701891768467188
Illiquidity,0.1939799331103679,1.0,0.6402382414644742,0.7495286988549781
Illiquidity,0.19732441471571907,1.0,0.6172658740106793,0.729655106001734
Illiquidity,0.20066889632107024,1.0,0.5953922448661323,0.7104911883743013
Illiquidity,0.2040133779264214,1.0,0.5746412467397911,0.6919585598292435
Illiquidity,0.20735785953177258,1.0,0.5550193318309082,0.6739842716989984
Illiquidity,0.21070234113712374,1.0,0.5365117824394443,0.656506338951013
Illiquidity,0.2140468227424749,1.0,0.5190804238252967,0.6394774667513172
Illiquidity,0.21739130434782608,1.0,0.5026641850064298,0.6228666503048336
Illiquidity,0.22073578595317725,1.0,0.48718320390229364,0.606658694961387
Illiquidity,0.22408026755852842,1.0,0.47254613710189614,0.5908520121419866
Illiquidity,0.22742474916387959,1.0,0.458659333535944,0.5754552526358989
Illiquidity,0.23076923076923075,1.0,0.44543590061732563,0.5604834249893906
Illiquidity,0.23411371237458192,1.0,0.4328026340177204,0.5459541154576655
Illiquidity,0.23745819397993312,1.0,0.42070331611389633,0.5318842974268999
Illiquidity,0.2408026755852843,1.0,0.40909785259726494,0.5182880263008093
Illiquidity,0.24414715719063546,1.0,0.397957827432648,0.5051751026187004
Illiquidity,0.24749163879598662,1.0,0.3872599892130925,0.4925505943438582
Illiquidity,0.2508361204013378,1.0,0.37697966552499296,0.4804149742629912
Illiquidity,0.25418060200668896,1.0,0.3670859972376086,0.4687645714984921
Illiquidity,0.25752508361204013,1.0,0.3575402315067479,0.4575920601509207
Illiquidity,0.2608695652173913,1.0,0.34829732385310425,0.4468867975596864
Illiquidity,0.26421404682274247,1.0,0.3393100982505602,0.43663494992191826
Illiquidity,0.26755852842809363,1.0,0.33053452288955404,0.4268194677381745
Illiquidity,0.2709030100334448,1.0,0.32193448610827985,0.4174200637581046
Illiquidity,0.27424749163879597,1.0,0.3134848178291758,0.40841337815739875
Illiquidity,0.27759197324414714,1.0,0.3051720186923377,0.3997734816659859
Illiquidity,0.2809364548494983,1.0,0.29699293743894234,0.39147277655043483
Illiquidity,0.2842809364548495,1.0,0.2889521901474086,0.38348323177243515
Illiquidity,0.28762541806020064,1.0,0.28105927872410297,0.37577776551288034
Illiquidity,0.2909698996655518,1.0,0.2733261540459795,0.3683315004032835
Illiquidity,0.294314381270903,1.0,0.26576554443173017,0.3611225925850334
Illiquidity,0.29765886287625415,1.0,0.2583899542434828,0.3541323898222502
Illiquidity,0.3010033444816054,1.0,0.25121100414880343,0.3473448025944721
Illiquidity,0.30434782608695654,1.0,0.24423879015270675,0.3407449521375429
Illiquidity,0.3076923076923077,1.0,0.23748111737920025,0.33431735143969266
Illiquidity,0.3110367892976589,1.0,0.23094268373578963,0.32804403174116836
Illiquidity,0.31438127090301005,1.0,0.2246244253895687,0.3219031037336584
Illiquidity,0.3177257525083612,1.0,0.21852323686589792,0.3158682101516802
Illiquidity,0.3210702341137124,1.0,0.21263217181559863,0.30990918022719194
Illiquidity,0.32441471571906355,1.0,0.20694109376573921,0.3039939605697456
Illiquidity,0.3277591973244147,1.0,0.20143765365934316,0.29809162039523607
Illiquidity,0.3311036789297659,1.0,0.19610845214690867,0.2921759745520975
Illiquidity,0.33444816053511706,1.0,0.19094027588829218,0.2862291966070891
Illiquidity,0.3377926421404682,1.0,0.1859213269975225,0.2802447496157757
Illiquidity,0.3411371237458194,1.0,0.18104235308325262,0.2742290577884808
Illiquidity,0.34448160535117056,1.0,0.17629753228245504,0.268201558345955
Illiquidity,0.34782608695652173,1.0,0.1716849151822266,0.26219306157610206
Illiquidity,0.3511705685618729,1.0,0.16720623138895044,0.25624264513028966
Illiquidity,0.35451505016722407,1.0,0.16286596916818855,0.2503935533876333
Illiquidity,0.35785953177257523,1.0,0.15866982027200405,0.24468871753355148
Illiquidity,0.3612040133779264,1.0,0.1546227879177018,0.23916653569919213
Illiquidity,0.36454849498327757,1.0,0.15072739984025674,0.2338574618818258
Illiquidity,0.36789297658862874,1.0,0.1469824824757345,0.22878177728860563
Illiquidity,0.3712374581939799,1.0,0.14338281733848884,0.22394870136990966
Illiquidity,0.3745819397993311,1.0,0.13991975578861726,0.21935678711228507
Illiquidity,0.37792642140468224,1.0,0.1365825951111566,0.21499537304391464
Illiquidity,0.3812709030100334,1.0,0.13336030745107133,0.21084675550992477
Illiquidity,0.3846153846153846,1.0,0.1302431287500489,0.20688870574499252
Illiquidity,0.3879598662207358,1.0,0.12722357687807986,0.20309697984857566
Illiquidity,0.391304347826087,1.0,0.1242966496276491,0.1994475392886814
Illiquidity,0.39464882943143814,1.0,0.12145919550594847,0.19591829421586582
Illiquidity,0.3979933110367893,1.0,0.11870868438967092,0.19249028141448293
Illiquidity,0.4013377926421405,1.0,0.11604177086192995,0.18914827684292157
Illiquidity,0.40468227424749165,1.0,0.11345310120730545,0.18588090885401787
Illiquidity,0.4080267558528428,1.0,0.11093475319753976,0.1826803779396872
Illiquidity,0.411371237458194,1.0,0.1084765315639216,0.17954190330981779
Illiquidity,0.41471571906354515,1.0,0.10606711234129318,0.1764630110205168
Illiquidity,0.4180602006688963,1.0,0.10369579474357485,0.17344276027235467
Illiquidity,0.4214046822742475,1.0,0.10135444300149717,0.1704809818878876
Illiquidity,0.42474916387959866,1.0,0.0990391329746347,0.16757758249119967
Illiquidity,0.4280936454849498,1.0,0.09675108079650155,0.164731953540558
Illiquidity,0.431438127090301,1.0,0.09449660754759927,0.1619425168356266
Illiquidity,0.43478260869565216,1.0,0.0922861356075939,0.15920643513813776
Illiquidity,0.43812709030100333,1.0,0.09013245101662999,0.1565195138421017
Illiquidity,0.4414715719063545,1.0,0.08804863643877295,0.15387631257609283
Illiquidity,0.44481605351170567,1.0,0.08604613745622575,0.1512704709578493
Illiquidity,0.44816053511705684,1.0,0.08413336029893462,0.1486952299244859
Illiquidity,0.451505016722408,1.0,0.08231503518497839,0.1461441018872135
Illiquidity,0.45484949832775917,1.0,0.08059236561729811,0.14361161497417826
Illiquidity,0.45819397993311034,1.0,0.0789637814606744,0.14109403578541788
Illiquidity,0.4615384615384615,1.0,0.07742597870109992,0.13858996775802995
Illiquidity,0.4648829431438127,1.0,0.07597489693292714,0.13610073224023814
Illiquidity,0.46822742474916385,1.0,0.07460636017487357,0.13363046661359637
Illiquidity,0.47157190635451507,1.0,0.07331625635290881,0.13118591401527732
Illiquidity,0.47491638795986624,1.0,0.07210029921917262,0.12877592485380926
Illiquidity,0.4782608695652174,1.0,0.07095354204940965,0.12641073242737122
Illiquidity,0.4816053511705686,1.0,0.06986985317656237,0.12410109545621843
Illiquidity,0.48494983277591974,1.0,0.06884151533081956,0.1218574140294927
Illiquidity,0.4882943143812709,1.0,0.06785901045350502,0.11968892118956524
