yyyymm,state,n_stocks
198901,Tight (NFCI gt 0),6904
198902,Tight (NFCI gt 0),6881
198903,Tight (NFCI gt 0),6875
198904,Tight (NFCI gt 0),6847
198905,Tight (NFCI gt 0),6814
198906,Tight (NFCI gt 0),6816
198907,Tight (NFCI gt 0),6807
198908,Tight (NFCI gt 0),6775
198909,Tight (NFCI gt 0),6768
198910,Tight (NFCI gt 0),6751
198911,Tight (NFCI gt 0),6751
198912,Tight (NFCI gt 0),6757
199001,Tight (NFCI gt 0),6761
199002,Tight (NFCI gt 0),6746
199003,Tight (NFCI gt 0),6750
199004,Tight (NFCI gt 0),6751
199008,Tight (NFCI gt 0),6737
199009,Tight (NFCI gt 0),6709
199010,Tight (NFCI gt 0),6689
199011,Tight (NFCI gt 0),6679
199012,Tight (NFCI gt 0),6653
199101,Tight (NFCI gt 0),6637
199102,Tight (NFCI gt 0),6617
200005,Tight (NFCI gt 0),8233
200708,Tight (NFCI gt 0),6863
200709,Tight (NFCI gt 0),6782
200711,Tight (NFCI gt 0),6697
200712,Tight (NFCI gt 0),6716
200801,Tight (NFCI gt 0),6690
200802,Tight (NFCI gt 0),6670
200803,Tight (NFCI gt 0),6658
200804,Tight (NFCI gt 0),6634
200805,Tight (NFCI gt 0),6635
200806,Tight (NFCI gt 0),6620
200807,Tight (NFCI gt 0),6614
200808,Tight (NFCI gt 0),6551
200809,Tight (NFCI gt 0),6461
200810,Tight (NFCI gt 0),6106
200811,Tight (NFCI gt 0),6062
200812,Tight (NFCI gt 0),6021
200901,Tight (NFCI gt 0),5986
200902,Tight (NFCI gt 0),5949
200903,Tight (NFCI gt 0),5905
200904,Tight (NFCI gt 0),5878
200905,Tight (NFCI gt 0),5835
200906,Tight (NFCI gt 0),5819
200907,Tight (NFCI gt 0),5798
200908,Tight (NFCI gt 0),5782
200909,Tight (NFCI gt 0),5762
200910,Tight (NFCI gt 0),5751
202003,Tight (NFCI gt 0),5773
202004,Tight (NFCI gt 0),5762
199005,Loose (NFCI le 0),6744
199006,Loose (NFCI le 0),6739
199007,Loose (NFCI le 0),6740
199103,Loose (NFCI le 0),6596
199104,Loose (NFCI le 0),6594
199105,Loose (NFCI le 0),6615
199106,Loose (NFCI le 0),6627
199107,Loose (NFCI le 0),6652
199108,Loose (NFCI le 0),6683
199109,Loose (NFCI le 0),6687
199110,Loose (NFCI le 0),6721
199111,Loose (NFCI le 0),6743
199112,Loose (NFCI le 0),6757
199201,Loose (NFCI le 0),6769
199202,Loose (NFCI le 0),6779
199203,Loose (NFCI le 0),6831
199204,Loose (NFCI le 0),6824
199205,Loose (NFCI le 0),6810
199206,Loose (NFCI le 0),6775
199207,Loose (NFCI le 0),6790
199208,Loose (NFCI le 0),6805
199209,Loose (NFCI le 0),6798
199210,Loose (NFCI le 0),6845
199211,Loose (NFCI le 0),6873
199212,Loose (NFCI le 0),6920
199301,Loose (NFCI le 0),6942
199302,Loose (NFCI le 0),6974
199303,Loose (NFCI le 0),7043
199304,Loose (NFCI le 0),7092
199305,Loose (NFCI le 0),7155
199306,Loose (NFCI le 0),7229
199307,Loose (NFCI le 0),7295
199308,Loose (NFCI le 0),7360
199309,Loose (NFCI le 0),7434
199310,Loose (NFCI le 0),7507
