feature,x,training_density,deployment_density_volvw,deployment_density_mcap
Illiquidity,0.0,1.0,11.395112022348357,9.369508854284192
Illiquidity,0.0033444816053511705,1.0,12.102152728414268,9.871022088694659
Illiquidity,0.006688963210702341,1.0,12.523276381018006,10.215236751511576
Illiquidity,0.010033444816053512,1.0,12.644061559191064,10.391610798635817
Illiquidity,0.013377926421404682,1.0,12.476055978120604,10.399670999384615
Illiquidity,0.016722408026755852,1.0,12.053639006080681,10.248615771865353
Illiquidity,0.020066889632107024,1.0,11.427879103286422,9.955967133465514
Illiquidity,0.023411371237458192,1.0,10.658761564382562,9.545498445550567
Illiquidity,0.026755852842809364,1.0,9.807322024003325,9.044750093937283
Illiquidity,0.030100334448160536,1.0,8.929008964172292,8.482472777874069
Illiquidity,0.033444816053511704,1.0,8.069125009598578,7.886308228302125
Illiquidity,0.03678929765886287,1.0,7.260627964313301,7.280941935888448
Illiquidity,0.04013377926421405,1.0,6.524068004210696,6.686861342717706
Illiquidity,0.043478260869565216,1.0,5.869103817594298,6.119747719835573
Illiquidity,0.046822742474916385,1.0,5.29691236072524,5.590439664434319
Illiquidity,0.05016722408026756,1.0,4.802855735595957,5.105343552515345
Illiquidity,0.05351170568561873,1.0,4.378929224174026,4.667136336596298
Illiquidity,0.056856187290969896,1.0,4.015714466885574,4.275606527892349
Illiquidity,0.06020066889632107,1.0,3.7037440455379658,3.9285026370647396
Illiquidity,0.06354515050167224,1.0,3.434316200709727,3.6222949262547846
Illiquidity,0.06688963210702341,1.0,3.1998728029291086,3.3527963651815282
Illiquidity,0.07023411371237458,1.0,2.994078094449218,3.115624542120838
Illiquidity,0.07357859531772575,1.0,2.8117257104789664,2.9065132837563685
Illiquidity,0.07692307692307693,1.0,2.6485732000344635,2.721499223647178
Illiquidity,0.0802675585284281,1.0,2.5011694904133526,2.557015278281055
Illiquidity,0.08361204013377926,1.0,2.3667097693392147,2.409922200551543
Illiquidity,0.08695652173913043,1.0,2.2429283636130246,2.2775039277079583
Illiquidity,0.0903010033444816,1.0,2.128024715478087,2.1574450207995968
Illiquidity,0.09364548494983277,1.0,2.0206099962312716,2.0478011958347313
Illiquidity,0.09698996655518395,1.0,1.9196607161550265,1.9469680762318347
Illiquidity,0.10033444816053512,1.0,1.8244688666787463,1.8536494020036336
Illiquidity,0.10367892976588629,1.0,1.7345835275441441,1.7668239791896723
Illiquidity,0.10702341137123746,1.0,1.6497445348185698,1.6857102444516585
Illiquidity,0.11036789297658862,1.0,1.5698132141375845,1.609727900810066
Illiquidity,0.11371237458193979,1.0,1.4947074318145472,1.538457104674057
Illiquidity,0.11705685618729096,1.0,1.4243480851948362,1.4715967117847792
Illiquidity,0.12040133779264214,1.0,1.3586220443714023,1.4089238286648658
Illiquidity,0.12374581939799331,1.0,1.2973633012409076,1.350257220823826
Illiquidity,0.12709030100334448,1.0,1.2403506742361474,1.2954269727354197
Illiquidity,0.13043478260869565,1.0,1.1873177489669604,1.244252235542487
Illiquidity,0.13377926421404682,1.0,1.1379693862708569,1.1965280476637077
Illiquidity,0.13712374581939799,1.0,1.0919992638526033,1.1520212107869885
Illiquidity,0.14046822742474915,1.0,1.0491042927730942,1.1104741994524128
Illiquidity,0.14381270903010032,1.0,1.0089938237289704,1.0716152216840207
Illiquidity,0.1471571906354515,1.0,0.9713936652106775,1.0351719547341856
Illiquidity,0.1505016722408027,1.0,0.9360464850894398,1.0008862395477662
Illiquidity,0.15384615384615385,1.0,0.9027108083938606,0.9685271625211139
Illiquidity,0.15719063545150502,1.0,0.8711605342482335,0.9379004545983681
Illiquidity,0.1605351170568562,1.0,0.841185958517169,0.9088529077421902
Illiquidity,0.16387959866220736,1.0,0.8125961740184566,0.8812714148993226
Illiquidity,0.16722408026755853,1.0,0.7852218973529621,0.8550771295124489
Illiquidity,0.1705685618729097,1.0,0.758917538126671,0.8302159717182825
Illiquidity,0.17391304347826086,1.0,0.7335617075610946,0.8066471744666543
Illiquidity,0.17725752508361203,1.0,0.7090561221474425,0.7843317124979636
