yyyymm,state,n_stocks
199008,Recession,6737
199009,Recession,6709
199010,Recession,6689
199011,Recession,6679
199012,Recession,6653
199101,Recession,6637
199102,Recession,6617
199103,Recession,6596
200104,Recession,7750
200105,Recession,7690
200106,Recession,7641
200107,Recession,7566
200108,Recession,7528
200109,Recession,7497
200110,Recession,7436
200111,Recession,7409
200801,Recession,6690
200802,Recession,6670
200803,Recession,6658
200804,Recession,6634
200805,Recession,6635
200806,Recession,6620
200807,Recession,6614
200808,Recession,6551
200809,Recession,6461
200810,Recession,6106
200811,Recession,6062
200812,Recession,6021
200901,Recession,5986
200902,Recession,5949
200903,Recession,5905
200904,Recession,5878
200905,Recession,5835
200906,Recession,5819
202003,Recession,5773
202004,Recession,5762
198901,Expansion,6904
198902,Expansion,6881
198903,Expansion,6875
198904,Expansion,6847
198905,Expansion,6814
198906,Expansion,6816
198907,Expansion,6807
198908,Expansion,6775
198909,Expansion,6768
198910,Expansion,6751
198911,Expansion,6751
198912,Expansion,6757
199001,Expansion,6761
199002,Expansion,6746
199003,Expansion,6750
199004,Expansion,6751
199005,Expansion,6744
199006,Expansion,6739
199007,Expansion,6740
199104,Expansion,6594
199105,Expansion,6615
199106,Expansion,6627
199107,Expansion,6652
199108,Expansion,6683
199109,Expansion,6687
199110,Expansion,6721
199111,Expansion,6743
199112,Expansion,6757
199201,Expansion,6769
199202,Expansion,6779
199203,Expansion,6831
199204,Expansion,6824
199205,Expansion,6810
199206,Expansion,6775
199207,Expansion,6790
199208,Expansion,6805
199209,Expansion,6798
199210,Expansion,6845
199211,Expansion,6873
199212,Expansion,6920
199301,Expansion,6942
199302,Expansion,6974
199303,Expansion,7043
199304,Expansion,7092
199305,Expansion,7155
199306,Expansion,7229
199307,Expansion,7295
199308,Expansion,7360
199309,Expansion,7434
199310,Expansion,7507
199311,Expansion,7600
199312,Expansion,7720
199401,Expansion,7757
199402,Expansion,7828
199403,Expansion,7894
199404,Expansion,7932
199405,Expansion,7990
199406,Expansion,8047
199407,Expansion,8058
199408,Expansion,8083
199409,Expansion,8087
199410,Expansion,8124
199411,Expansion,8128
199412,Expansion,8137
199501,Expansion,8130
199502,Expansion,8124
199503,Expansion,8137
199504,Expansion,8152
199505,Expansion,8150
199506,Expansion,8185
199507,Expansion,8213
199508,Expansion,8261
199509,Expansion,8267
199510,Expansion,8304
199511,Expansion,8349
199512,Expansion,8399
199601,Expansion,8404
199602,Expansion,8434
199603,Expansion,8518
199604,Expansion,8567
199605,Expansion,8661
199606,Expansion,8723
199607,Expansion,8764
199608,Expansion,8815
199609,Expansion,8829
199610,Expansion,8913
199611,Expansion,8966
199612,Expansion,8986
199701,Expansion,8987
199702,Expansion,8995
199703,Expansion,9002
199704,Expansion,9012
199705,Expansion,8992
199706,Expansion,8999
199707,Expansion,9012
199708,Expansion,9003
199709,Expansion,9001
199710,Expansion,9046
199711,Expansion,9042
199712,Expansion,9036
199801,Expansion,9017
199802,Expansion,8989
199803,Expansion,8974
199804,Expansion,8975
199805,Expansion,8946
199806,Expansion,8939
199807,Expansion,8925
199808,Expansion,8872
199809,Expansion,8759
199810,Expansion,8713
199811,Expansion,8635
199812,Expansion,8616
199901,Expansion,8573
199902,Expansion,8496
199903,Expansion,8441
199904,Expansion,8421
199905,Expansion,8393
199906,Expansion,8378
199907,Expansion,8369
199908,Expansion,8345
199909,Expansion,8325
199910,Expansion,8307
199911,Expansion,8302
199912,Expansion,8295
