feature,x,training_density,deployment_density_volvw,deployment_density_mcap
Illiquidity,0.0,1.0,12.862977830695236,11.359687704901397
Illiquidity,0.0033444816053511705,1.0,13.871277740486633,12.153696557913337
Illiquidity,0.006688963210702341,1.0,14.34407668713736,12.611201333716684
Illiquidity,0.010033444816053512,1.0,14.271196108468047,12.712820220417477
Illiquidity,0.013377926421404682,1.0,13.716899778496469,12.475268252464934
Illiquidity,0.016722408026755852,1.0,12.799409688907376,11.946579738791918
Illiquidity,0.020066889632107024,1.0,11.661106098035566,11.196530986531167
Illiquidity,0.023411371237458192,1.0,10.43906666733504,10.30468969210676
Illiquidity,0.026755852842809364,1.0,9.24364108031671,9.348761225407523
Illiquidity,0.030100334448160536,1.0,8.148496034197603,8.395412927722766
Illiquidity,0.033444816053511704,1.0,7.1912114465722885,7.494794611738169
Illiquidity,0.03678929765886287,1.0,6.380751307655038,6.678901997237778
Illiquidity,0.04013377926421405,1.0,5.707497683412245,5.963073911168112
Illiquidity,0.043478260869565216,1.0,5.152510150741563,5.3494549854033595
Illiquidity,0.046822742474916385,1.0,4.694289885192427,4.8312066918121355
Illiquidity,0.05016722408026756,1.0,4.312758873654735,4.396498679138966
Illiquidity,0.05351170568561873,1.0,3.9910101875982,4.031696376505257
Illiquidity,0.056856187290969896,1.0,3.715647237555367,3.7235342953357677
Illiquidity,0.06020066889632107,1.0,3.4764215066743938,3.4603386983169706
Illiquidity,0.06354515050167224,1.0,3.265633814594492,3.23251174882663
Illiquidity,0.06688963210702341,1.0,3.077537792043197,3.0325301207143305
Illiquidity,0.07023411371237458,1.0,2.907835610982991,2.854682620379402
Illiquidity,0.07357859531772575,1.0,2.7532821849066345,2.6947118512333836
Illiquidity,0.07692307692307693,1.0,2.611387813223252,2.5494618259988884
Illiquidity,0.0802675585284281,1.0,2.4802042007931133,2.4165814712016154
Illiquidity,0.08361204013377926,1.0,2.3581790004282026,2.294298088802806
Illiquidity,0.08695652173913043,1.0,2.2440636829220493,2.181254231229618
Illiquidity,0.0903010033444816,1.0,2.1368587067678138,2.0763928133347527
Illiquidity,0.09364548494983277,1.0,2.03578037219954,1.9788747031313536
Illiquidity,0.09698996655518395,1.0,1.9402362905730641,1.8880168033329026
Illiquidity,0.10033444816053512,1.0,1.8498005643078292,1.8032436996800836
Illiquidity,0.10367892976588629,1.0,1.7641843296503577,1.7240501730281648
Illiquidity,0.10702341137123746,1.0,1.683201239831475,1.649974194990443
Illiquidity,0.11036789297658862,1.0,1.6067303091958398,1.580580417404198
Illiquidity,0.11371237458193979,1.0,1.5346802040159637,1.5154532969965235
Illiquidity,0.11705685618729096,1.0,1.4669594690289975,1.4541977859517252
Illiquidity,0.12040133779264214,1.0,1.403456215325346,1.3964447034209198
Illiquidity,0.12374581939799331,1.0,1.3440286153851468,1.3418578066217617
Illiquidity,0.12709030100334448,1.0,1.2885047961155884,1.290140121724548
Illiquidity,0.13043478260869565,1.0,1.2366884172008354,1.2410379617692604
Illiquidity,0.13377926421404682,1.0,1.1883653456624585,1.194341922138989
Illiquidity,0.13712374581939799,1.0,1.1433078119275668,1.1498848038982756
Illiquidity,0.14046822742474915,1.0,1.1012748561302477,1.107536837198003
Illiquidity,0.14381270903010032,1.0,1.0620106359106585,1.0671988381909088
Illiquidity,0.1471571906354515,1.0,1.025243942746701,1.0287941315122828
Illiquidity,0.1505016722408027,1.0,0.9906921860867739,0.9922602481657494
Illiquidity,0.15384615384615385,1.0,0.9580712172464586,0.9575415199918919
Illiquidity,0.15719063545150502,1.0,0.9271096761411705,0.9245836283326595
Illiquidity,0.1605351170568562,1.0,0.8975644256510789,0.8933308239661693
Illiquidity,0.16387959866220736,1.0,0.8692330564917264,0.8637259048115292
Illiquidity,0.16722408026755853,1.0,0.8419604771711372,0.835712245385619
Illiquidity,0.1705685618729097,1.0,0.8156385587608465,0.8092364706886715
Illiquidity,0.17391304347826086,1.0,0.7901997826602989,0.7842500438849733
Illiquidity,0.17725752508361203,1.0,0.7656072417841351,0.7607082816023913
Illiquidity,0.1806020066889632,1.0,0.7418439733590627,0.7385661116671872
Illiquidity,0.18394648829431437,1.0,0.7189044186469215,0.7177710153305678
Illiquidity,0.18729096989966554,1.0,0.6967897494425126,0.698254683524392
Illiquidity,0.1906354515050167,1.0,0.6755069336583122,0.6799256071835531
Illiquidity,0.1939799331103679,1.0,0.6550692595369976,0.6626648997970793
Illiquidity,0.19732441471571907,1.0,0.6354946735921881,0.6463271028306281
Illiquidity,0.20066889632107024,1.0,0.6167988301507225,0.630746712503926
Illiquidity,0.2040133779264214,1.0,0.5989824931999954,0.6157499427731209
Illiquidity,0.20735785953177258,1.0,0.5820167768653167,0.6011700673364354
Illiquidity,0.21070234113712374,1.0,0.5658325278558384,0.5868637901596928
Illiquidity,0.2140468227424749,1.0,0.5503200186405776,0.572725658986793
Illiquidity,0.21739130434782608,1.0,0.5353416571841845,0.5586976843946684
Illiquidity,0.22073578595317725,1.0,0.5207552197729304,0.5447720985817257
Illiquidity,0.22408026755852842,1.0,0.506440830460222,0.5309864911368364
Illiquidity,0.22742474916387959,1.0,0.4923236059981098,0.5174121390608498
Illiquidity,0.23076923076923075,1.0,0.4783858219370318,0.5041378201302299
Illiquidity,0.23411371237458192,1.0,0.46466618297730544,0.4912523533947537
Illiquidity,0.23745819397993312,1.0,0.45124734240476466,0.47882926348442933
Illiquidity,0.2408026755852843,1.0,0.4382350615859626,0.4669162755196642
Illiquidity,0.24414715719063546,1.0,0.42573340542450433,0.4555310440814923
Illiquidity,0.24749163879598662,1.0,0.41382079690553947,0.44466301561744276
Illiquidity,0.2508361204013378,1.0,0.4025318965871446,0.4342800537373039
Illiquidity,0.25418060200668896,1.0,0.39184968371565954,0.4243377196061693
Illiquidity,0.25752508361204013,1.0,0.3817101236365981,0.4147889734075593
Illiquidity,0.2608695652173913,1.0,0.37201840158194316,0.4055924255113974
Illiquidity,0.26421404682274247,1.0,0.3626719582920902,0.3967178923464674
Illiquidity,0.26755852842809363,1.0,0.3535831718760947,0.3881486885274902
Illiquidity,0.2709030100334448,1.0,0.3446947780756627,0.3798806855134409
Illiquidity,0.27424749163879597,1.0,0.33598404096063805,0.37191865233477744
Illiquidity,0.27759197324414714,1.0,0.3274559896207252,0.3642707765108459
Illiquidity,0.2809364548494983,1.0,0.31912982797372735,0.35694254164234324
Illiquidity,0.2842809364548495,1.0,0.31102439557232925,0.34993126689636067
Illiquidity,0.28762541806020064,1.0,0.3031478547558486,0.343222517983373
Illiquidity,0.2909698996655518,1.0,0.29549425233592247,0.3367892261149266
Illiquidity,0.294314381270903,1.0,0.28804653538641845,0.3305937258072913
Illiquidity,0.29765886287625415,1.0,0.2807832710424239,0.3245921748099618
Illiquidity,0.3010033444816054,1.0,0.2736855085469858,0.3187401630556668
Illiquidity,0.30434782608695654,1.0,0.26674099222406983,0.31299797762226683
Illiquidity,0.3076923076923077,1.0,0.2599447136758245,0.3073341133852941
Illiquidity,0.3110367892976589,1.0,0.2532966716769602,0.30172619917692256
Illiquidity,0.31438127090301005,1.0,0.24679885136779536,0.29615937285012295
Illiquidity,0.3177257525083612,1.0,0.24045342487188756,0.29062299398121816
Illiquidity,0.3210702341137124,1.0,0.23426316204614184,0.2851071251878748
Illiquidity,0.32441471571906355,1.0,0.2282336106519116,0.27960024187015753
Illiquidity,0.3277591973244147,1.0,0.22237547583748468,0.27408913177093447
Illiquidity,0.3311036789297659,1.0,0.21670531481919353,0.2685611030305334
Illiquidity,0.33444816053511706,1.0,0.21124328229078126,0.2630077439361572
Illiquidity,0.3377926421404682,1.0,0.20600792907987808,0.25742888950049614
Illiquidity,0.3411371237458194,1.0,0.20100942845543165,0.2518353551379465
Illiquidity,0.34448160535117056,1.0,0.196243510555034,0.2462494118402892
Illiquidity,0.34782608695652173,1.0,0.19168845041042923,0.24070272780034355
Illiquidity,0.3511705685618729,1.0,0.1873066399821069,0.23523230302312376
Illiquidity,0.35451505016722407,1.0,0.1830508770131538,0.2298754932883572
Illiquidity,0.35785953177257523,1.0,0.17887401615706097,0.22466538357019472
Illiquidity,0.3612040133779264,1.0,0.17473953010847754,0.21962751744464706
Illiquidity,0.36454849498327757,1.0,0.17063012349135037,0.21477845620614625
Illiquidity,0.36789297658862874,1.0,0.16655191081179455,0.21012604772557497
Illiquidity,0.3712374581939799,1.0,0.16253271747808956,0.20567083892011684
Illiquidity,0.3745819397993311,1.0,0.15861457558189745,0.20140789204672757
Illiquidity,0.37792642140468224,1.0,0.15484213894319257,0.1973283739126385
Illiquidity,0.3812709030100334,1.0,0.15125009568406397,0.19342058862888437
Illiquidity,0.3846153846153846,1.0,0.14785322674204482,0.1896704766532201
Illiquidity,0.3879598662207358,1.0,0.14464219547391846,0.1860618689776019
Illiquidity,0.391304347826087,1.0,0.14158646395193294,0.18257688034253738
Illiquidity,0.39464882943143814,1.0,0.13864339783039406,0.17919673712753406
Illiquidity,0.3979933110367893,1.0,0.13577049283188158,0.17590311876854256
Illiquidity,0.4013377926421405,1.0,0.13293661022135936,0.1726798404927298
Illiquidity,0.40468227424749165,1.0,0.13012862829572622,0.1695145167430478
Illiquidity,0.4080267558528428,1.0,0.1273518038291516,0.16639978469253408
