yyyymm,state,n_stocks
199001,High VIX,6761
199002,High VIX,6746
199003,High VIX,6750
199004,High VIX,6751
199007,High VIX,6740
199008,High VIX,6737
199009,High VIX,6709
199010,High VIX,6689
199011,High VIX,6679
199012,High VIX,6653
199101,High VIX,6637
199102,High VIX,6617
199104,High VIX,6594
199106,High VIX,6627
199111,High VIX,6743
199112,High VIX,6757
199403,High VIX,7894
199603,High VIX,8518
199607,High VIX,8764
199610,High VIX,8913
199612,High VIX,8986
199701,High VIX,8987
199702,High VIX,8995
199703,High VIX,9002
199704,High VIX,9012
199705,High VIX,8992
199706,High VIX,8999
199707,High VIX,9012
199708,High VIX,9003
199709,High VIX,9001
199710,High VIX,9046
199711,High VIX,9042
199712,High VIX,9036
199801,High VIX,9017
199802,High VIX,8989
199803,High VIX,8974
199804,High VIX,8975
199805,High VIX,8946
199806,High VIX,8939
199807,High VIX,8925
199808,High VIX,8872
199809,High VIX,8759
199810,High VIX,8713
199811,High VIX,8635
199812,High VIX,8616
199901,High VIX,8573
199902,High VIX,8496
199903,High VIX,8441
199904,High VIX,8421
199905,High VIX,8393
199906,High VIX,8378
199907,High VIX,8369
199908,High VIX,8345
199909,High VIX,8325
199910,High VIX,8307
199911,High VIX,8302
199912,High VIX,8295
200001,High VIX,8245
200002,High VIX,8223
200003,High VIX,8243
200004,High VIX,8260
200005,High VIX,8233
200006,High VIX,8254
200007,High VIX,8263
200009,High VIX,8222
200010,High VIX,8178
200011,High VIX,8107
200012,High VIX,8029
200101,High VIX,7973
200102,High VIX,7914
200103,High VIX,7835
200104,High VIX,7750
200105,High VIX,7690
200106,High VIX,7641
200107,High VIX,7566
200108,High VIX,7528
200109,High VIX,7497
200110,High VIX,7436
200111,High VIX,7409
200112,High VIX,7373
200201,High VIX,7332
200202,High VIX,7295
200204,High VIX,7209
200205,High VIX,7184
200206,High VIX,7157
200207,High VIX,7111
200208,High VIX,7076
200209,High VIX,7021
200210,High VIX,7005
200211,High VIX,6991
200212,High VIX,6958
200301,High VIX,6920
200302,High VIX,6857
200303,High VIX,6816
200304,High VIX,6776
200305,High VIX,6750
200306,High VIX,6714
200307,High VIX,6690
200308,High VIX,6680
200309,High VIX,6671
200312,High VIX,6651
200707,High VIX,6857
200708,High VIX,6863
200709,High VIX,6782
200710,High VIX,6790
200711,High VIX,6697
200712,High VIX,6716
200801,High VIX,6690
200802,High VIX,6670
200803,High VIX,6658
200804,High VIX,6634
200805,High VIX,6635
200806,High VIX,6620
200807,High VIX,6614
200808,High VIX,6551
200809,High VIX,6461
200810,High VIX,6106
200811,High VIX,6062
200812,High VIX,6021
200901,High VIX,5986
200902,High VIX,5949
200903,High VIX,5905
200904,High VIX,5878
200905,High VIX,5835
200906,High VIX,5819
200907,High VIX,5798
200908,High VIX,5782
200909,High VIX,5762
200910,High VIX,5751
200911,High VIX,5745
200912,High VIX,5736
201001,High VIX,5723
201002,High VIX,5708
201004,High VIX,5714
201005,High VIX,5702
201006,High VIX,5690
201007,High VIX,5692
201008,High VIX,5688
201009,High VIX,5679
201010,High VIX,5673
201011,High VIX,5662
201012,High VIX,5673
201101,High VIX,5676
201102,High VIX,5666
201103,High VIX,5638
201107,High VIX,5627
201108,High VIX,5623
201109,High VIX,5608
201110,High VIX,5586
201111,High VIX,5583
201112,High VIX,5570
201201,High VIX,5561
201202,High VIX,5575
201205,High VIX,5574
201207,High VIX,5526
201210,High VIX,5500
201212,High VIX,5479
201401,High VIX,5555
201412,High VIX,5747
201501,High VIX,5736
201506,High VIX,5777
201508,High VIX,5797
201509,High VIX,5777
201512,High VIX,5770
201601,High VIX,5752
201602,High VIX,5735
201802,High VIX,5717
201803,High VIX,5705
201810,High VIX,5771
201811,High VIX,5755
