feature,abs_d_bar,abs_gamma,spearman_rho,spearman_pval
STreversal,0.0333808520364692,0.02914170780838392,0.2607142857142857,0.3479794598627935
Mom12m,0.113161482080666,0.0009199712815398742,0.2607142857142857,0.3479794598627935
BM,0.1922989497637111,0.014329551837740968,0.2607142857142857,0.3479794598627935
EP,0.0801674061071386,0.013018765805965043,0.2607142857142857,0.3479794598627935
GP,0.0620482375336033,0.004742240884014691,0.2607142857142857,0.3479794598627935
AssetGrowth,0.090753097323456,0.007565121989231101,0.2607142857142857,0.3479794598627935
RoE,0.1707766071556489,0.03188367782116541,0.2607142857142857,0.3479794598627935
Accruals,0.0263491127675926,0.0020851277723650872,0.2607142857142857,0.3479794598627935
IdioVol3F,0.1232836965210902,0.027937512043939586,0.2607142857142857,0.3479794598627935
Beta,0.0070800068957682,0.005350112048788789,0.2607142857142857,0.3479794598627935
Illiquidity,0.4294968070565317,0.023952122040329128,0.2607142857142857,0.3479794598627935
zerotrade12M,0.249319823668949,0.013166210175773322,0.2607142857142857,0.3479794598627935
Size,0.4207988784052768,0.012689278966138333,0.2607142857142857,0.3479794598627935
AnnouncementReturn,0.0208054013330842,0.025611410896534393,0.2607142857142857,0.3479794598627935
BidAskSpread,0.1615491315335555,0.01840200392055952,0.2607142857142857,0.3479794598627935
