feature,abs_d_bar,abs_gamma,spearman_rho
AM,0.1512448951473768,0.11573960514715062,0.4451560316721007
AbnormalAccruals,0.032629361437641,0.010688993447442376,0.4451560316721007
Accruals,0.0263491127675926,0.007215286906177202,0.4451560316721007
AnalystRevision,0.0247976796613821,0.0033312037177220194,0.4451560316721007
AnnouncementReturn,0.0208054013330842,0.01333690052611173,0.4451560316721007
AssetGrowth,0.090753097323456,0.01023860767364394,0.4451560316721007
BM,0.1922989497637111,0.012483784113590777,0.4451560316721007
BMdec,0.1610591969133504,0.016269139083808143,0.4451560316721007
BPEBM,0.0166546709858497,0.01484605618503651,0.4451560316721007
Beta,0.0070800068957682,0.006341770350743219,0.4451560316721007
BetaLiquidityPS,0.0078095943178829,0.00039220512371955724,0.4451560316721007
BetaTailRisk,0.0016091422688794,0.005060398980219623,0.4451560316721007
BidAskSpread,0.1615491315335555,0.01919909594264277,0.4451560316721007
BookLeverage,0.0266087618692697,0.009792999008244282,0.4451560316721007
CBOperProf,0.1955131698085744,0.005184374136080047,0.4451560316721007
CF,0.0251028419416487,0.038808373238572766,0.4451560316721007
Cash,0.0344729247771271,0.0009700473271987121,0.4451560316721007
CashProd,0.1457670233148258,0.023260204646593695,0.4451560316721007
ChAssetTurnover,4.80702506849929e-05,0.0009705605781693653,0.4451560316721007
ChEQ,0.0855540458373858,0.0005889390162328813,0.4451560316721007
ChInv,0.044477264492857,0.003653682981419407,0.4451560316721007
ChInvIA,0.036024572561057,0.0005315968752123046,0.4451560316721007
ChNNCOA,0.0037924086929776,0.002535947747587885,0.4451560316721007
ChNWC,0.0092106891697227,0.000756112258659904,0.4451560316721007
ChTax,0.0609396389890719,0.007753064352660896,0.4451560316721007
CompEquIss,0.1245948461486795,0.028185432807766163,0.4451560316721007
CompositeDebtIssuance,0.0427281671790694,0.001535793562396283,0.4451560316721007
CoskewACX,0.0674050647562718,0.004988499005724855,0.4451560316721007
DelCOA,0.0529574101540266,0.0003233842691288064,0.4451560316721007
DelCOL,0.0762968596834567,0.006348973039824636,0.4451560316721007
DelEqu,0.0836118511893327,0.011328962943007729,0.4451560316721007
DelFINL,0.0315954859937463,0.0028662268464441963,0.4451560316721007
DelLTI,0.0375393349265731,0.005152530249924567,0.4451560316721007
DelNetFin,0.0165378191052746,0.007829635548420548,0.4451560316721007
DolVol,0.435851683317732,0.01224285399119858,0.4451560316721007
EBM,0.1504522575505072,0.006482853089556899,0.4451560316721007
EP,0.0801674061071386,0.006597653154859096,0.4451560316721007
EarnSupBig,0.0042673768715562,0.0014975597086404322,0.4451560316721007
EarningsStreak,0.0231918992262558,0.008038626747022933,0.4451560316721007
EarningsSurprise,0.0110928136897982,0.011693589252375361,0.4451560316721007
EntMult,0.110722739416092,0.0063129635053691185,0.4451560316721007
EquityDuration,0.0503425015867945,0.010442174969016699,0.4451560316721007
ExclExp,0.0218363538384183,0.0008650607193137355,0.4451560316721007
FEPS,0.2298266072981656,0.018022424680653494,0.4451560316721007
ForecastDispersion,0.0820285239250465,0.0043059447123186744,0.4451560316721007
GP,0.0620482375336033,0.0002842495522276658,0.4451560316721007
Herf,0.0419562497645863,0.0004197638469601297,0.4451560316721007
HerfBE,0.0431976054494637,0.00170278725855915,0.4451560316721007
IdioVol3F,0.1232836965210902,0.01396965540440066,0.4451560316721007
IdioVolAHT,0.1626739058990943,0.030074277404838763,0.4451560316721007
Illiquidity,0.4294968070565317,0.0054928978881347585,0.4451560316721007
IndMom,0.0143332637914066,0.008051126175097078,0.4451560316721007
IndRetBig,0.0009321442163548,0.0022090627644889087,0.4451560316721007
IntMom,0.0933541518957732,0.010016328467628576,0.4451560316721007
IntanBM,0.1729562395683545,0.016885369969836358,0.4451560316721007
IntanCFP,0.113200735929364,0.02248262445161633,0.4451560316721007
IntanEP,0.1111885015668672,0.01134811056630073,0.4451560316721007
IntanSP,0.1800991118305304,0.0257688285413878,0.4451560316721007
InvGrowth,0.0395013590145175,0.006302847269357079,0.4451560316721007
InvestPPEInv,0.0663212478797568,0.00891628666240386,0.4451560316721007
Investment,0.0390453039573195,0.0014648776088730226,0.4451560316721007
LRreversal,0.1380239306450315,0.012844119402678229,0.4451560316721007
Leverage,0.0957170806481295,0.04440866039857956,0.4451560316721007
MaxRet,0.0724599373678325,0.014962661444208294,0.4451560316721007
MeanRankRevGrowth,0.1016022937133792,0.0021512972216683325,0.4451560316721007
Mom12m,0.113161482080666,0.012482349066651379,0.4451560316721007
Mom12mOffSeason,0.0871931191271906,0.016363582472899305,0.4451560316721007
Mom6m,0.0825453669782557,0.021659835687515325,0.4451560316721007
MomOffSeason,0.1230268525981502,0.0006626582953722406,0.4451560316721007
MomOffSeason06YrPlus,0.0936275427891456,0.0016569959402152883,0.4451560316721007
MomSeason,0.0486934369250807,0.002478040513713209,0.4451560316721007
MomSeason06YrPlus,0.0382765559550771,0.003510479749745943,0.4451560316721007
MomSeason11YrPlus,0.0233447206364027,0.0025590703497113086,0.4451560316721007
MomSeasonShort,0.0454580781216001,0.002891882392951901,0.4451560316721007
NOA,0.0073674528304351,0.0012584098439678971,0.4451560316721007
NetDebtFinance,0.0282856358507584,0.005856466230366022,0.4451560316721007
NetDebtPrice,0.0758113904925687,0.020967030552771094,0.4451560316721007
