feature,beta_bar,beta_t,gamma_bar,gamma_t
AM,0.07839135414782086,9.910067216506613,-0.11573960514715062,-10.358815951837904
AbnormalAccruals,-0.00706527618552885,-3.858334792271693,0.010688993447442376,3.791570153231908
Accruals,0.001954353258266145,0.9060148019506872,-0.007215286906177202,-2.215125419550897
AnalystRevision,0.004622621247635123,2.78365966071112,-0.0033312037177220194,-1.4822672003348853
AnnouncementReturn,0.015087338466564001,8.759003124796024,-0.01333690052611173,-5.64305547818235
AssetGrowth,0.009697366867732201,3.5874470724377066,-0.01023860767364394,-2.384582589624699
BM,-0.009245349179725719,-3.672801711060326,0.012483784113590777,3.48880942262486
BMdec,-0.01091692709645507,-4.143853517076614,0.016269139083808143,4.486431122995748
BPEBM,-0.009540448735930884,-4.3185939145659455,0.01484605618503651,3.9385528860839933
Beta,0.0020202400207162624,1.0961065503166028,0.006341770350743219,1.920999146752719
BetaLiquidityPS,0.00041034328265842864,0.30181000875179087,-0.00039220512371955724,-0.2002862873070997
BetaTailRisk,-0.0020974621661926578,-1.0724851272048777,0.005060398980219623,1.7563331544566394
BidAskSpread,-0.009016300089275325,-3.4575650436460976,0.01919909594264277,4.250442569223794
BookLeverage,0.012719962857340502,5.101942248178393,-0.009792999008244282,-2.5382667312226745
CBOperProf,-0.0005726434188778139,-0.24942962509312802,0.005184374136080047,1.410093320653143
CF,-0.014999717745090064,-4.330979033209811,0.038808373238572766,6.616494185706781
Cash,0.009665524372040123,3.7440908783286186,0.0009700473271987121,0.2623967141807463
CashProd,-0.014038920053583008,-3.533008374240142,0.023260204646593695,4.576064619371338
ChAssetTurnover,0.00113041244788578,0.7128068593190616,-0.0009705605781693653,-0.416872815476089
ChEQ,0.0014705685646687618,0.4100684496289966,0.0005889390162328813,0.11487865274004962
ChInv,0.0028621346846114037,1.2854851359382957,-0.003653682981419407,-1.1992719048192835
ChInvIA,0.0018667203705661718,1.030224332917786,-0.0005315968752123046,-0.18909658303447976
ChNNCOA,-0.00014065890401006266,-0.08276258373593877,0.002535947747587885,0.9709957644000587
ChNWC,0.0002451115242758557,0.12926585068624452,0.000756112258659904,0.25053687109603573
ChTax,0.007801980871004183,5.94659766246779,-0.007753064352660896,-3.8073815636752584
CompEquIss,0.02063890555073429,7.539271470082184,-0.028185432807766163,-7.808740830562516
CompositeDebtIssuance,0.0008869517074739481,0.6913758240345522,-0.001535793562396283,-0.6978164482741669
CoskewACX,-0.002449593983921616,-2.384179729049064,0.004988499005724855,2.780488481458459
DelCOA,0.0011363661051761438,0.45299486938718647,-0.0003233842691288064,-0.08348947722547367
DelCOL,-0.004219450009418088,-1.7666618076572027,0.006348973039824636,1.6846354863682107
DelEqu,-0.005839787009458079,-1.632616406797891,0.011328962943007729,2.142006915492027
DelFINL,0.003143995543547469,1.168051139359736,-0.0028662268464441963,-0.7125603433303375
DelLTI,-0.0023792074216091403,-1.7113298082791117,0.005152530249924567,2.5615299048151936
DelNetFin,-0.006406551930152493,-2.665104234924051,0.007829635548420548,2.210253521037164
DolVol,0.01722879395916937,3.6081554649928074,-0.01224285399119858,-1.3039151022943092
EBM,0.004349919097500713,1.780869729672292,-0.006482853089556899,-1.558725901806351
EP,0.0012465595358439469,0.5953684332633582,-0.006597653154859096,-2.208737072427612
EarnSupBig,0.0018311569967784259,0.9027088745907238,0.0014975597086404322,0.4016174391993154
EarningsStreak,0.009334631137569084,5.226193714520497,-0.008038626747022933,-2.7264607374367995
EarningsSurprise,0.007016307907255357,3.6614113396495607,-0.011693589252375361,-4.25300042895844
EntMult,0.004179407938315718,2.0890040263559677,-0.0063129635053691185,-2.0033138954092866
EquityDuration,0.004021178070153656,2.105279372561831,-0.010442174969016699,-3.168630997997864
ExclExp,-0.0002937095969445119,-0.1823889885130215,0.0008650607193137355,0.363666059548101
FEPS,0.008288851823833461,2.106133219882929,-0.018022424680653494,-3.7043589081069324
ForecastDispersion,-0.0017669422633572918,-0.8862686839301246,0.0043059447123186744,1.4323543505647993
GP,0.0033531419362980725,1.4459270978376038,-0.0002842495522276658,-0.0830881128755016
Herf,-0.00045102213523724087,-0.15805688382202587,-0.0004197638469601297,-0.09862047429230839
HerfBE,0.002978059815731635,0.8388719375884188,0.00170278725855915,0.33262633447921786
IdioVol3F,-0.0071542699440547315,-1.1462890958889758,0.01396965540440066,1.8032275252835919
IdioVolAHT,-0.01272366690053643,-4.496622831478489,0.030074277404838763,7.585998895698047
Illiquidity,0.014811233843734489,3.454747874195313,0.0054928978881347585,0.6314344542180662
IndMom,0.008050165862711373,5.212538886107708,-0.008051126175097078,-3.644089580157449
IndRetBig,0.01183311173707043,5.000394313422746,0.0022090627644889087,0.6337396767427458
IntMom,-0.005652767340494516,-2.286699561137673,0.010016328467628576,2.654640023686622
IntanBM,-0.011515799795745737,-3.5936872295134847,0.016885369969836358,3.7196867649698473
IntanCFP,0.011471009625306429,1.9665617114054372,-0.02248262445161633,-2.2998310635759753
IntanEP,0.00910444701272492,1.5002927955645176,-0.01134811056630073,-1.0905473030880568
IntanSP,-0.00951193968716384,-1.760983039067561,0.0257688285413878,2.7264384933193697
InvGrowth,-0.004008899984889198,-1.2514631365567195,0.006302847269357079,1.3684183532574454
InvestPPEInv,0.00487405652731638,2.2998720151260477,-0.00891628666240386,-2.776418230660705
Investment,0.0022553556620212574,1.0630006625436383,-0.0014648776088730226,-0.4558354790510108
LRreversal,0.0049977251395051745,1.9446660374093665,-0.012844119402678229,-3.456103561746071
Leverage,-0.017756985152651245,-3.488791164530683,0.04440866039857956,5.795074399228695
MaxRet,-0.008032808832070169,-1.6150387520524363,0.014962661444208294,1.9701347529844482
MeanRankRevGrowth,-0.0037321174877191776,-2.0872390449112697,0.0021512972216683325,0.9253409842467223
Mom12m,0.014827247316230033,3.4630354261476928,-0.012482349066651379,-1.6118016134792692
Mom12mOffSeason,-0.00391304103142703,-1.0689785884704166,0.016363582472899305,2.609243168091448
Mom6m,-0.012137648609408351,-4.115799290063037,0.021659835687515325,4.997834382119225
MomOffSeason,-0.0024427639823716625,-1.346470143255505,0.0006626582953722406,0.22176901835697166
MomOffSeason06YrPlus,0.0004029533888283244,0.2218859411881296,0.0016569959402152883,0.6359409452842437
MomSeason,0.0032966363235932936,2.10819697802699,0.002478040513713209,0.9261076651398416
MomSeason06YrPlus,0.0009287356373319879,0.6937869238695582,0.003510479749745943,1.733074395737865
MomSeason11YrPlus,0.00015890157123027492,0.10708861077126075,0.0025590703497113086,1.0772041368075715
MomSeasonShort,0.0015726856338637075,0.7688200553145013,0.002891882392951901,0.9856112669568705
NOA,0.00012452699812067424,0.05916574467723917,0.0012584098439678971,0.4385097577188093
NetDebtFinance,-0.00503940561908796,-2.1245539271807665,0.005856466230366022,1.6058703359557212
