feature,beta_bar,beta_t,gamma_bar,gamma_t
AM,0.0545516171426475,9.052849987616074,-0.056709839930931455,-8.99563462949553
AbnormalAccruals,-0.005318830360322233,-4.19786432387784,0.006879129615020171,4.4300948268457025
Accruals,0.00020479750742553822,0.12805542065189318,-0.001455540885755963,-0.7840748002765383
AnalystRevision,0.00238476118291118,2.1836717499706606,-0.00020383412755145216,-0.1732841897008275
AnnouncementReturn,0.011988146584739956,9.557727536927617,-0.006125780362963334,-4.884171404147727
AssetGrowth,0.006203224251761817,3.2019982175445616,-0.0021941211842390115,-0.9482034947127026
BM,-0.006713769631088422,-3.6768271289236467,0.006481066684571419,3.1814138843585797
BMdec,-0.005977853564414593,-3.156184889066965,0.006203925512877494,3.266166014469055
BPEBM,-0.007587767313276806,-4.845574192824712,0.008009041502793567,4.369870626715146
Beta,0.002919612668603532,1.8762694186039783,0.003585421644203432,1.9508890623826098
BetaLiquidityPS,-0.00017743838708729107,-0.17069926681536463,0.0006233672751739462,0.5950373628989315
BetaTailRisk,-0.0005611280760036371,-0.36774109948093037,0.001997468287318854,1.267865048809117
BidAskSpread,-0.006338856626865556,-3.081786253718462,0.009623054277453531,4.104785055219443
BookLeverage,0.010745835272210184,5.673583402278702,-0.004980915687093916,-2.4185534607908457
CBOperProf,0.0011707200072166649,0.717817571071225,0.002520575325173334,1.3063516892767653
CF,-0.008183179595857843,-3.113388519952881,0.016807269689698492,5.120549811392908
Cash,0.008608864891445895,4.858266408146806,0.0016539291830601007,0.8632327234820204
CashProd,-0.009185523489190356,-3.1909374831817603,0.011922064673623597,4.294580070570432
ChAssetTurnover,0.00126615359332095,1.1143851801127262,-0.001189811088417801,-0.9028445145910293
ChEQ,0.00045726252730488785,0.17797913528878956,0.002063233934261705,0.7749326185252875
ChInv,0.0018424197704367293,1.049699015846497,-0.0018783328331497373,-1.001511919287809
ChInvIA,0.0013977162480182663,1.0400850130617179,0.0004418657158379479,0.26909342377249773
ChNNCOA,0.000498186867188773,0.41215750405441515,0.0012864768434318378,0.8339501334820633
ChNWC,0.0004717140944142588,0.33807579457952225,-0.0004355762023156853,-0.26068011736812813
ChTax,0.006209920348629679,6.939864960546391,-0.004523519146622023,-4.187374738656227
CompEquIss,0.015241056807583874,7.559868039557977,-0.014185123977398508,-7.441696290142371
CompositeDebtIssuance,0.0006045021068079943,0.6917246083786625,-0.0006513886154837832,-0.5447657654150896
CoskewACX,-0.0011076673060062287,-1.378967408114747,0.002242107704196779,2.3959130260604464
DelCOA,0.0010643973971401028,0.5873631176276705,-0.0006772389672623624,-0.322771617379049
DelCOL,-0.0021278466772681965,-1.256719052186428,0.002121869391649823,0.986062239841346
DelEqu,-0.0020296378740471076,-0.7397531932723983,0.0033819473132429474,1.106087370457695
DelFINL,0.002544015764533894,1.2670351821652488,-0.003004690185790235,-1.3160097712574348
DelLTI,-0.0009166123927881571,-0.9326771374644027,0.002494401467110606,2.067914363915834
DelNetFin,-0.00443749309966392,-2.6295120240352436,0.004786799741995415,2.392692016482828
DolVol,0.0042585753355898065,1.1876044755187358,-0.0024513325592517626,-0.4938532113750006
EBM,0.003828759307367414,2.2561530478576195,-0.0035847855787893837,-1.62408579277945
EP,-0.0007976897568010471,-0.5016162465446176,-0.0021900391289793636,-1.3301457759777793
EarnSupBig,0.0021049347505396124,1.5184966223625456,0.0003994967507691484,0.2690057261960265
EarningsStreak,0.00777075589117014,6.7652665291373655,-0.004329152699722578,-2.825392426864113
EarningsSurprise,0.004180552141494698,3.270200344530906,-0.007283235327697594,-4.9346709263237445
EntMult,0.003212407012448772,2.238347960103795,-0.004066166065044148,-2.203311224007391
EquityDuration,0.0012557036655441525,0.9047539108444224,-0.004409842784964864,-2.429159123756555
ExclExp,0.00010386175722520172,0.0902472791243318,0.000284109523831977,0.20334534569711493
FEPS,0.005617803288427474,1.8632227167170754,-0.008891496913539623,-3.195969069772166
ForecastDispersion,0.00035582172701627843,0.27323313933813176,0.0019807589050154237,1.288978202107619
GP,0.003738597052679532,2.175284324151425,-0.0012414309899337734,-0.6879641465661323
Herf,0.0010696162312831328,0.49717136105647913,-0.002706024349901689,-1.1303005005049556
HerfBE,0.001985198256221769,0.7463647087947088,0.0032544804540191284,1.1693614807992287
IdioVol3F,-0.004512168697317876,-0.959367994778857,0.00852136996077893,1.977873036629081
IdioVolAHT,-0.00584675421641753,-2.4565471425257495,0.012781880855862533,6.541067335014407
Illiquidity,0.010923411441426884,3.258252533030307,-0.0007482031942811059,-0.14763401130873954
IndMom,0.006424853412519974,5.148645002887498,-0.004400706419400947,-3.7137379272194972
IndRetBig,0.012636668109093564,5.758608563620986,0.0006776382128226851,0.37700502266604313
IntMom,-0.0032602408717514212,-1.768637025421702,0.004022781244807318,2.1706269688058812
IntanBM,-0.008914926358441209,-3.862901999212862,0.009227619654601404,3.6182146718788166
IntanCFP,0.008234984826298242,1.857865975960679,-0.01322557008079377,-2.3448510884385696
IntanEP,0.005031039460109582,1.1773572283181464,-0.0021393679713055556,-0.42323918544562106
IntanSP,-0.0025101979189319787,-0.6781606680544517,0.009478121533923276,1.9545198530238834
InvGrowth,-0.0018193711711871061,-0.8020221832272479,0.002057423707137955,0.7912444012402655
InvestPPEInv,0.002629355205952177,1.7009140908546052,-0.004586446659898042,-2.3681076595530826
Investment,0.0025300098632390364,1.7239878837429843,-0.0020492251622798658,-1.1863235323834043
LRreversal,0.002045632943968833,1.0797243586129583,-0.005039167246436251,-2.4136213729994727
Leverage,-0.010371274821195323,-2.51735292455519,0.023591899811543797,5.584721078416589
MaxRet,-0.0022546183149275032,-0.6662139609523521,0.0035917631116308096,0.9010477858755684
MeanRankRevGrowth,-0.0037952229701540613,-2.823756376378788,0.0015384107770757631,1.0804373599328312
Mom12m,0.01188797062435172,3.9614476770353826,-0.008059030013117903,-2.023449666393029
Mom12mOffSeason,0.0010060248421850599,0.37037087965208243,0.007191541887992381,2.279617554209686
Mom6m,-0.006925218301222586,-3.4355624290945004,0.01009209210066198,4.618795544585531
MomOffSeason,-0.001780358201775635,-1.262351246952249,0.0015154387474235033,0.9159456901217793
MomOffSeason06YrPlus,0.001364269851236317,1.0064512175470939,0.00020300307930374114,0.14180746516898576
MomSeason,0.00368169654841469,3.104526124398133,0.001137881247218058,0.8022376398203928
MomSeason06YrPlus,0.002212931419412512,2.1660733746942658,0.0006988604864716177,0.5462476231590709
MomSeason11YrPlus,0.0008220496087032124,0.854561588093697,0.0014374966663650087,1.1738904301730946
MomSeasonShort,0.0023170656108986486,1.5257106376427232,0.0014379075336306377,0.9850884780501534
NOA,0.0012781746265689959,0.7894640561144626,-0.0001271047783142729,-0.08623627387583031
NetDebtFinance,-0.0033537275657256477,-1.9892122714189435,0.0035103334953923548,1.7174071152338535
NetDebtPrice,-0.0006463276128543819,-0.2535820413535778,0.009988931299485736,3.9610529576308964
NetEquityFinance,-0.003239889756840455,-1.9431252001784072,0.0004471036953497406,0.24222836991754185
NetPayoutYield,-0.005670688929926398,-2.9637379637790886,0.006088860505185821,2.764220935917803
OPLeverage,0.006257563279296266,3.2657290287065357,-0.002869591285519439,-1.8373402458069226
PctAcc,0.002592933077888174,1.885557001877811,-0.001601881833209743,-1.0343523514167356
PctTotAcc,-0.0011678362855522617,-0.9216382643115841,0.0024479141957389444,1.7408694989510674
Price,0.004482017719536617,1.8548965659811953,0.0011551375380579288,0.45743987070663333
PriceDelayRsq,-0.0013737136411521621,-0.9130551983547543,0.003140157243274815,0.8265149919057552
RD,0.014202476524008306,6.636792782237927,-0.0044264270603240116,-2.2646847087109117
RDS,-0.001470654014686861,-1.1809931706765224,0.001554162064324252,1.2401252306715036
REV6,0.006033006981638131,4.789697279954886,-0.003911160265123332,-2.6011257904460408
RealizedVol,0.013667289031078327,2.268299013327603,-0.006737546086133156,-1.2978737765534483
ResidualMomentum,-0.002649641250581097,-2.529422400310959,0.00034829312457302687,0.2906662433530021
ReturnSkew,0.0022538584456659187,1.6948872037679485,-0.004047432530016144,-2.5086564437989454
ReturnSkew3F,-0.002651203594559589,-2.7078255736841075,0.0022980090268353882,2.342023861397085
RevenueSurprise,0.005582989516657492,4.289679689466082,-0.0029242606588451895,-1.9190082001525597
RoE,-0.0030662458983824444,-2.0218522400045513,0.005536993748291322,3.501031201148694
STreversal,0.02353207785598592,8.113386867866593,-0.015685565830494054,-6.639379290912206
ShareIss1Y,0.0032363426301026997,2.6371124403311406,-0.003965732071483095,-2.732665847421073
ShareIss5Y,-0.005517962223627873,-2.910346727973736,0.007529242526575494,3.8865332412523292
Size,0.0006359418598678773,0.2285521244513102,-0.009469982263649897,-2.290674567360619
Tax,-0.0032380243759263776,-3.001912158860429,0.004983704808011462,4.297326891734532
TotalAccruals,0.0006487590707405847,0.33611836646066384,-0.001833572101620693,-0.7580640270589362
TrendFactor,0.0024346645443889567,1.1132220921164944,0.007110737300203595,3.9857427853631897
VolSD,0.0024586405409725105,1.008790015913345,8.969883925858324e-05,0.03649937615435665
XFIN,0.006242645591551507,3.081394564579741,-0.0057337920038893955,-2.5545426437663394
betaVIX,0.0024766204017009448,2.5204839895177864,-0.00020546168587979316,-0.1997437706154237
cfp,0.002416274431584436,1.0680831924682759,0.0006166724968700832,0.23801208236021493
dNoa,0.0002600471372585148,0.13009689655516568,-0.004128623938238122,-1.66733809950543
grcapx,0.0020682262759494857,1.624203756080212,-0.0009374938404863012,-0.47479445814698484
grcapx3y,-0.005628348544715183,-2.737535663935195,0.006135323799013484,2.2535393141012863
hire,-0.0005930114376590701,-0.5877402032168229,-0.0004293720465244537,-0.36722673812454043
roaq,0.012869602486641922,6.776943249420348,-0.008991787238568647,-4.422799741158029
std_turn,-0.00013541555745660253,-0.0737051702328857,0.016125930860200866,5.286670696812404
zerotrade12M,0.002298423938206385,0.8009191260519187,-0.008047438212845965,-2.2205732672721585
zerotrade1M,-0.0014012241385404907,-0.6872263562696296,-0.004798457000454642,-1.817657585445798
zerotrade6M,0.005997160362257419,1.7519857946493012,0.001476958453072995,0.4140319696443607
