Feature,Q1 (illiq),Q2,Q3,Q4,Q5 (liq),Q5-Q1
STreversal,0.0313 (10.91),0.0143 (6.20),0.0120 (5.61),0.0092 (4.47),0.0054 (2.91),-0.0258 (-9.29)
Mom12m,0.0052 (2.40),0.0109 (4.55),0.0117 (5.04),0.0119 (4.75),0.0102 (3.80),0.0050 (2.30)
BM,0.0087 (5.13),0.0065 (3.43),0.0049 (2.60),0.0060 (3.10),0.0031 (1.46),-0.0056 (-2.52)
EP,0.0028 (2.28),0.0040 (2.70),0.0014 (1.06),-0.0016 (-0.97),0.0002 (0.10),-0.0026 (-1.51)
GP,0.0059 (3.61),0.0092 (4.83),0.0063 (3.47),0.0045 (2.82),0.0052 (2.98),-0.0007 (-0.30)
AssetGrowth,0.0121 (8.92),0.0051 (4.20),0.0043 (3.43),0.0041 (3.69),0.0036 (2.63),-0.0085 (-4.96)
RoE,0.0005 (0.37),0.0006 (0.40),0.0024 (1.83),0.0038 (2.31),0.0007 (0.42),0.0002 (0.10)
Accruals,0.0034 (3.81),0.0026 (2.56),0.0028 (2.63),0.0031 (2.71),0.0022 (1.71),-0.0012 (-0.73)
IdioVol3F,0.0063 (3.02),0.0160 (7.04),0.0145 (6.61),0.0110 (5.22),0.0103 (5.36),0.0041 (1.54)
Beta,0.0050 (2.55),0.0077 (3.51),0.0066 (2.97),0.0020 (0.79),0.0006 (0.22),-0.0044 (-2.30)
Illiquidity,0.0193 (5.60),0.0169 (3.62),0.0104 (2.01),0.0153 (2.46),0.0102 (1.52),-0.0091 (-1.24)
zerotrade12M,0.0063 (2.09),0.0068 (2.66),0.0005 (0.20),-0.0062 (-2.05),-0.0018 (-0.49),-0.0081 (-1.94)
Size,0.0124 (4.64),0.0043 (1.20),-0.0028 (-0.57),-0.0120 (-1.73),0.0086 (0.82),-0.0038 (-0.36)
ChNAnalyst,0.0264 (0.90),0.0270 (0.59),-0.0995 (-2.06),-0.0716 (-1.34),-0.0461 (-1.55),-0.0725 (-1.76)
BidAskSpread,-0.0034 (-1.89),0.0007 (0.36),0.0021 (1.06),0.0001 (0.07),0.0007 (0.28),0.0041 (1.35)
