Feature,Q1 (illiq),Q2,Q3,Q4,Q5 (liq),Q5-Q1
AM,0.0557 (7.94),0.0239 (3.41),-0.0097 (-1.50),0.0006 (0.08),-0.0130 (-1.87),-0.0686 (-7.84)
AbnormalAccruals,-0.0048 (-3.69),-0.0007 (-0.35),0.0019 (1.27),-0.0024 (-1.40),0.0021 (1.41),0.0069 (3.41)
Accruals,0.0012 (0.71),-0.0020 (-0.95),-0.0015 (-0.66),-0.0022 (-1.14),-0.0036 (-1.66),-0.0048 (-1.75)
AnalystRevision,0.0039 (2.72),0.0045 (3.36),0.0034 (2.90),0.0024 (2.09),-0.0011 (-1.01),-0.0049 (-2.98)
AnnouncementReturn,0.0130 (9.25),0.0101 (7.72),0.0055 (5.17),0.0036 (3.27),0.0022 (1.75),-0.0108 (-5.88)
AssetGrowth,0.0058 (2.78),0.0064 (2.40),0.0000 (0.02),0.0034 (1.55),0.0024 (0.90),-0.0033 (-0.94)
BM,-0.0077 (-3.57),-0.0037 (-1.72),-0.0004 (-0.19),0.0008 (0.45),0.0023 (1.37),0.0100 (3.66)
BMdec,-0.0052 (-2.36),-0.0035 (-1.72),-0.0008 (-0.37),0.0002 (0.10),0.0005 (0.24),0.0058 (1.93)
BPEBM,-0.0062 (-3.71),0.0001 (0.06),-0.0028 (-1.31),-0.0002 (-0.10),0.0003 (0.14),0.0065 (2.31)
Beta,0.0041 (2.57),0.0080 (4.22),0.0055 (2.35),0.0016 (0.68),0.0001 (0.03),-0.0041 (-1.48)
BetaLiquidityPS,0.0010 (0.92),0.0002 (0.17),0.0010 (0.84),-0.0020 (-1.57),0.0002 (0.11),-0.0008 (-0.59)
BetaTailRisk,0.0011 (0.62),-0.0028 (-1.38),-0.0016 (-1.00),0.0027 (1.38),0.0024 (1.32),0.0014 (0.61)
BidAskSpread,-0.0048 (-2.40),0.0011 (0.52),0.0017 (0.87),0.0010 (0.39),0.0017 (0.70),0.0065 (2.03)
BookLeverage,0.0141 (7.16),0.0030 (1.58),0.0042 (1.95),0.0023 (1.10),0.0035 (1.78),-0.0106 (-3.88)
CBOperProf,0.0012 (0.62),0.0030 (1.40),0.0014 (0.74),0.0058 (2.69),0.0057 (2.30),0.0046 (1.56)
CF,-0.0084 (-2.97),0.0068 (2.05),0.0069 (2.07),0.0071 (2.00),0.0049 (1.50),0.0133 (3.22)
Cash,0.0106 (5.05),0.0117 (5.26),0.0090 (5.22),0.0071 (4.27),0.0085 (4.31),-0.0021 (-0.77)
CashProd,-0.0075 (-2.28),-0.0030 (-0.98),0.0041 (1.81),0.0041 (1.95),-0.0001 (-0.05),0.0074 (2.12)
ChAssetTurnover,0.0024 (2.02),-0.0010 (-0.73),-0.0011 (-0.95),-0.0008 (-0.74),0.0014 (1.24),-0.0010 (-0.61)
ChEQ,0.0064 (2.03),0.0034 (1.05),0.0010 (0.36),-0.0011 (-0.37),-0.0006 (-0.24),-0.0071 (-1.76)
ChInv,0.0019 (1.02),0.0011 (0.65),0.0007 (0.41),-0.0015 (-0.98),0.0007 (0.46),-0.0012 (-0.51)
ChInvIA,0.0021 (1.32),0.0022 (1.31),0.0017 (1.11),-0.0004 (-0.24),0.0007 (0.50),-0.0014 (-0.72)
ChNNCOA,0.0005 (0.38),0.0017 (1.16),0.0018 (1.07),0.0012 (0.85),-0.0026 (-2.20),-0.0032 (-1.72)
