feature,beta_Q1,t_Q1,se_Q1,beta_Q2,t_Q2,se_Q2,beta_Q3,t_Q3,se_Q3,beta_Q4,t_Q4,se_Q4,beta_Q5,t_Q5,se_Q5,beta_Q5-Q1,t_Q5-Q1
AM,0.05565830623614147,7.942843321584593,0.0070073529065958805,0.023909560315260946,3.4144435473388604,0.0070024763870808505,-0.009733886537721566,-1.5015166903623607,0.006482702856518025,0.0005774728132838991,0.0833955280322713,0.006924505748802698,-0.012976691241042317,-1.8710568150769928,0.0069354875471851095,-0.0686349974771838,-7.8379458071794135
AbnormalAccruals,-0.0047919253032397266,-3.685509286861977,0.0013002070895118559,-0.0006662424336402294,-0.35326932872627975,0.0018859334209465083,0.0018768701211720265,1.2737605609579647,0.0014734873874258422,-0.0023538881422532467,-1.3956883669739117,0.0016865427827251107,0.0021108427132029957,1.4127832590550868,0.0014941022974853146,0.006902768016442722,3.408088900823167
Accruals,0.0012171153604184836,0.7101817338441088,0.0017138083147118105,-0.0020331487034019853,-0.9505286955107716,0.0021389661490539874,-0.0014976682341584814,-0.6561435792236846,0.0022825312653831737,-0.0021637393039509157,-1.138606123581338,0.0019003404769554148,-0.003571363848745717,-1.6595456748792914,0.0021520129893414855,-0.0047884792091642,-1.7535501891764362
AnalystRevision,0.0038813018935303554,2.7157153099956033,0.001429200579031474,0.004504605111445767,3.3589128620624136,0.001341090196868008,0.0033716128638177226,2.9040541894093335,0.0011610020488300487,0.002366609035278977,2.087417298240962,0.0011337498435378907,-0.0010578272017191712,-1.0069248108201574,0.0010505523256076617,-0.0049391290952495275,-2.9784546308399564
AnnouncementReturn,0.01297500532607674,9.25264237798413,0.0014023026932230359,0.01009822453366465,7.722231760377327,0.0013076821373684368,0.005513052233863623,5.168239112387275,0.0010667177183520586,0.0036436729551658216,3.2698319050922384,0.0011143303573163457,0.0022123641245214874,1.7528300270917963,0.0012621669473520637,-0.010762641201555252,-5.875354841244047
AssetGrowth,0.0057843256119866964,2.7770846763426347,0.002082876932512025,0.006440596172694437,2.4005810437616586,0.002682932196532787,4.831980377005421e-05,0.019344682822026088,0.0024978338603224193,0.0033867142810478134,1.5461144080609932,0.0021904680943340706,0.002443741554261237,0.8999553178486065,0.0027154032047981423,-0.0033405840577254596,-0.9385850740916455
BM,-0.0077355136665075925,-3.5740454921424476,0.0021643579197618353,-0.0036974156518067795,-1.7173455513383347,0.0021529829270092835,-0.0003515691156216745,-0.18790487307457862,0.0018709952002263308,0.0007802953015561353,0.45052454419050403,0.0017319706808830106,0.002252232490428905,1.3707942647640967,0.0016430127761123197,0.009987746156936499,3.662110654989525
BMdec,-0.005243741112472288,-2.359117279375249,0.0022227555867256233,-0.003497867423234914,-1.7231485760370358,0.0020299279306950106,-0.0007807945005037107,-0.3727057162246291,0.002094935673144136,0.0002135616706882195,0.09505449465702769,0.0022467287997141564,0.0005440688289289272,0.24273470975377268,0.0022414133911084428,0.005787809941401215,1.9306362990589572
BPEBM,-0.006185750058915109,-3.7057491559261644,0.0016692306463925045,0.0001435113162738498,0.061728754770511415,0.0023248697759639067,-0.0027657336767232216,-1.3112605762975633,0.0021092174406192135,-0.00023135932444908153,-0.10192718597439851,0.0022698490323003035,0.00032402045405203474,0.14434710343988638,0.0022447312507865714,0.006509770512967143,2.3147528551122227
Beta,0.004142404635809135,2.573066657929929,0.0016099095695957454,0.008015508437237865,4.219879959407942,0.001899463613738069,0.005474804552133613,2.3482762112266506,0.002331414220337301,0.0016131682001336407,0.6808840674661035,0.002369225947872468,8.264720197945794e-05,0.03113017658246232,0.0026548902400386175,-0.004059757433829678,-1.4844715327075646
BetaLiquidityPS,0.0009914638346249585,0.9182601530591142,0.0010797199805762797,0.0001982715359302769,0.17284658999283967,0.0011470954442230564,0.0009680989206909474,0.8386150770165574,0.0011544019982743926,-0.001983328678695975,-1.5668838451951779,0.0012657790076640448,0.00015720102199455802,0.11015816419417111,0.001427048309533068,-0.0008342628126304011,-0.5941077467676249
BetaTailRisk,0.0010502923139672402,0.6186812207911752,0.0016976308293697954,-0.002797453762514624,-1.376294072723379,0.0020325988594712806,-0.001565427481580967,-1.0037801454511215,0.0015595322229425333,0.002705295048321262,1.3780450325972697,0.0019631397990111095,0.002430974430088206,1.31865016614257,0.0018435324944443025,0.0013806821161209649,0.6080672113002662
BidAskSpread,-0.004789479097939571,-2.401603257840596,0.00199428406099267,0.0010522658231061925,0.5168938242805897,0.002035748491618624,0.0017296826935791132,0.8737207935420853,0.0019796744067025547,0.0009881151567557134,0.39085188917515534,0.0025281063853650762,0.001676977954738716,0.6963628612132113,0.002408195566054551,0.006466457052678287,2.033405771604154
BookLeverage,0.014113924481649078,7.160904811569144,0.001970969430964457,0.0029627178768497353,1.5807866663116397,0.0018742047488055284,0.0041771840410071166,1.9506325819792396,0.002141450973185669,0.0023024307266840214,1.1003892946588232,0.002092378340883344,0.0035319825309076723,1.7845256858413405,0.0019792276227408112,-0.010581941950741405,-3.8752108490727033
CBOperProf,0.0011722608197644296,0.6233001106440839,0.0018807325712698495,0.002979881728678104,1.3961011965559735,0.0021344310398337465,0.0014403558827886546,0.7395621985806671,0.0019475791022755323,0.005763584152228735,2.6851426280263935,0.002146472255168444,0.005722417594508472,2.301711200096093,0.0024861579481689836,0.004550156774744042,1.5599474673713785
CF,-0.008406047738413476,-2.9703002095505546,0.0028300330422443803,0.006753493294751462,2.045010430514952,0.003302424864919086,0.006899398387720847,2.074186899186437,0.0033263147069470997,0.007070904052794194,2.0034529968729236,0.003529358594302321,0.0049079756508597664,1.5004279754022254,0.003271050481142933,0.013314023389273242,3.220023511691991
Cash,0.010590605682928158,5.053022681721923,0.002095895140395291,0.011691358646618879,5.25823514118044,0.002223437775738999,0.009008269255875369,5.223664045504762,0.001724511602852304,0.0071008347243168395,4.267230900459293,0.0016640380822965444,0.00846858517776159,4.3086662439665195,0.001965477179770018,-0.0021220205051665684,-0.7678918463344702
CashProd,-0.007525587596399527,-2.2838368669160416,0.00329515111408182,-0.0029884825431357683,-0.9793842510630161,0.003051389217145459,0.004050815287470328,1.8064463640414927,0.002242422121190244,0.004121248500357435,1.9493462045243217,0.002114169607631652,-8.062532692836466e-05,-0.051268109976409466,0.0015726214008174603,0.007444962269471161,2.115806349746668
ChAssetTurnover,0.002438087506136104,2.0177564081388355,0.0012083160763617542,-0.0010302323573034354,-0.7340386750267015,0.001403512365701929,-0.0011188262114245485,-0.9517427845903357,0.0011755552335562297,-0.0008322085667961295,-0.7412041121924345,0.0011227792090015658,0.0014376041509223704,1.2397517888089586,0.00115959030178411,-0.0010004833552137342,-0.6059382938399189
ChEQ,0.006425115367728921,2.025028123744057,0.0031728524124640697,0.003448236373717953,1.0461974762091075,0.0032959708392842086,0.0009989153148944334,0.3636222929097224,0.0027471234145218845,-0.0010889840451337731,-0.37172184697967464,0.0029295669705238434,-0.0006306414589210174,-0.24470988107918537,0.0025770984650879255,-0.00705575682664994,-1.759791409053124
ChInv,0.0019045752211387023,1.0155787015707942,0.0018753595543042588,0.0010614653133876831,0.64754665440115,0.001639210559074426,0.0007330967807047779,0.405441302296405,0.0018081452889790555,-0.001470588085064194,-0.9798865301681716,0.0015007738547154093,0.0006585784823574436,0.45534363585671306,0.001446332902223068,-0.0012459967387812576,-0.511008802520401
ChInvIA,0.0020806220722610156,1.3160729367564226,0.0015809321916374116,0.002192222630870184,1.3050269410874062,0.0016798294057006418,0.0016795996374070659,1.1125628498198739,0.0015096671955916884,-0.0003937614140815523,-0.23859603187616082,0.0016503267509743306,0.0006686315448656511,0.5003746753141871,0.0013362617611409188,-0.0014119905273953643,-0.7243361186449943
ChNNCOA,0.0005416476210314202,0.3791981047584183,0.0014284027642398058,0.0017443928643133854,1.159822791433045,0.001504016714620741,0.0017676461999528298,1.0696517970728252,0.0016525435705246453,0.0012384762054618707,0.8463056366581948,0.0014633911814084554,-0.0026422711743162223,-2.203386244763721,0.0011991865614099653,-0.0031839187953476415,-1.720991433434023
ChNWC,0.0008175896301301619,0.49376481899244473,0.0016558280352952245,0.0031847099704208942,1.5462736747139447,0.0020596030460196865,-0.0013212629523203152,-0.7648402557610543,0.0017275018441669137,-0.003478772208457335,-2.269402752032012,0.0015329020841904149,-0.0025687274809144223,-1.4691338318184748,0.001748463907971464,-0.003386317111044584,-1.348468949956168
