feature,beta_Q1,t_Q1,se_Q1,beta_Q2,t_Q2,se_Q2,beta_Q3,t_Q3,se_Q3,beta_Q4,t_Q4,se_Q4,beta_Q5,t_Q5,se_Q5,beta_Q5-Q1,t_Q5-Q1
STreversal,0.027343457373469143,10.262566966184457,0.002664387717377812,0.01787261473301229,6.404192971050131,0.0027907676757718968,0.010957868785910003,4.60997340900434,0.0023769917554202725,0.008808256043381788,4.07614953676335,0.0021609256392433403,0.0042796349104444065,2.020645342420887,0.002117954507205643,-0.023063822463024734,-7.985473358073289
Mom12m,0.008094004080577113,2.7356010944119427,0.0029587662094122088,0.00501974759823472,1.4837599280479439,0.00338312654449347,0.005942409365413864,1.777918115069268,0.0033423414245274995,0.004347794542704956,1.3796560790276844,0.0031513611318040027,0.004803095715407327,1.1750676982289696,0.00408750553065702,-0.003290908365169787,-1.1424193038365125
BM,-0.001517526090479223,-0.6786910542040886,0.002235960060294075,0.00046466529715001657,0.17909034602511303,0.0025945859587811542,0.0011229187871832106,0.48367046239227895,0.0023216608713898927,0.0021256833867682122,0.9028439656852633,0.0023544305190707094,0.0026611941445044765,1.1129173405900774,0.00239118759987466,0.0041787202349836995,1.4477675512459889
EP,0.003933223294472017,1.602091048460684,0.002455056033332889,0.006842345019751833,2.6287222120501172,0.0026029167282820456,0.0016104468711902417,0.7330719390285291,0.0021968469742879733,0.00014051451747749467,0.06659423240956298,0.0021100103176099777,-0.0009676939113071674,-0.3987951667023855,0.002426543729977906,-0.004900917205779181,-1.5800789997702673
GP,0.005150136355392795,2.5511219559501357,0.0020187730905536763,0.009378672177119296,3.9699470064581157,0.002362417473548773,0.005292770557604298,2.71485920033544,0.0019495561894886995,0.0074087505420038224,3.146133761559873,0.002354874618659099,0.005880327202773334,2.346935217770713,0.0025055345193374747,0.0007301908473805387,0.25970151766171157
AssetGrowth,0.008512368177554786,4.911454220642429,0.001733166552133993,0.004461854056517614,1.915416043966218,0.0023294438148688218,-0.00045338517583710177,-0.2514752368144233,0.001802901874476326,0.0013057268426087082,0.6871442064902574,0.0019002224427940677,0.002928889105182491,1.612278597296724,0.0018166147650246689,-0.0055834790723722945,-2.6567751315355563
RoE,-0.007334761754179768,-1.6650275111501476,0.004405189526936495,-0.0062190618545180775,-1.7373423597684001,0.0035796409496094495,-0.003462306117444173,-1.057712213004988,0.0032733914526784846,-0.0007411639013751702,-0.30396548608942703,0.0024383159776143757,0.0027091059486149737,0.86107486841826,0.003146190938764047,0.010043867702794742,1.757769383867085
Accruals,0.004310205558642696,2.9276471002035946,0.0014722421832682481,0.0028746625568315423,1.7354297834977834,0.0016564557000039604,0.0003314804561511612,0.21538372796925234,0.0015390227445523765,0.0006056775894408986,0.3931186176232122,0.0015406993265870083,0.0022950925847400818,1.3481105330201117,0.0017024513409879592,-0.0020151129739026134,-0.9620186776021916
IdioVol3F,0.00495356155444591,1.7671203859923927,0.002803182846913993,0.008431255271400987,2.951375095630814,0.002856721019257272,0.00588982732920025,2.169559024711941,0.002714757820420332,0.00887293588598942,3.246925791956951,0.0027327190254759783,0.008619033831520118,4.0612081315871915,0.002122283210378496,0.0036654722770742107,0.9976622376698348
Beta,0.003517619254938742,1.311583636451417,0.0026819633587804675,0.00040087630314010307,0.12164282268380668,0.003295519573580797,-0.0011578689245751624,-0.3832620112653865,0.0030210897259353104,-0.0003521507233353667,-0.10629159837889057,0.003313062638121957,-0.0010916892335936397,-0.2963265324153767,0.0036840752149164984,-0.004609308488532382,-1.4563387039695814
Illiquidity,0.012485931720899813,1.3357278813037794,0.009347661223266916,0.004904351789262703,0.3871763820563876,0.012666970446943334,-0.0005553173306475253,-0.04265295759283921,0.013019433164483644,0.02479565527611726,1.4982618474889464,0.016549614019521507,-0.011828603776218357,-0.5778411867760854,0.02047033691421855,-0.024314535497118175,-1.0445129496781316
zerotrade12M,0.0012199460671044053,0.24936491767496755,0.004892212098153009,0.012510513344599324,2.191320735040096,0.0057091201413609636,0.006302429544803006,1.2816978517981887,0.004917250610946145,-0.004474363153207516,-0.8496028548305572,0.00526641727692861,-0.00827337691092111,-1.8950584439529214,0.004365763460921865,-0.009493322978025517,-1.6171787385627499
Size,0.018335420383531552,4.031105757021086,0.004548484085686974,0.02512498228854896,2.4834196604727503,0.01011709083585418,0.019625213734642613,1.581733843192992,0.012407405847134095,-0.006162754260003682,-0.41654985463898636,0.014794757917620189,0.02181444020886428,0.9845602661809516,0.022156531152207823,0.003479019825332737,0.15034914293046422
AnnouncementReturn,0.023213783751812843,15.5058857714587,0.00149709498018758,0.012952982733446979,7.235689530281936,0.001790151813346567,0.004880711207111494,3.0840609073129244,0.0015825599278984255,0.0016639464363365835,1.2457359670703445,0.0013357135703882454,0.0029194117366308455,2.6898097484239387,0.001085359936085234,-0.020294372015182003,-11.937991256348104
BidAskSpread,-0.0034438397450099398,-1.2746989572037832,0.0027016886815099048,-0.006145100055074457,-2.3502867882093876,0.002614617112218983,0.00019065187227774137,0.06866975735073771,0.0027763586130640843,-0.003287655149387382,-1.1850214504192533,0.0027743423110393735,0.0018670237880326174,0.5447376370433766,0.003427381662420269,0.005310863533042558,1.1667379491048382
