,0
AM,-0.31834814120611565
AbnormalAccruals,0.04947994841377532
Accruals,0.006013874560477179
AnalystRevision,0.038486365771374945
AnnouncementReturn,0.04586044742365488
AssetGrowth,-0.20162469436192787
BM,-0.376556846070235
BMdec,-0.2807620344687129
BPEBM,-0.04622629393333454
Beta,0.08128198993980948
BetaLiquidityPS,-0.02743894349654031
BetaTailRisk,0.09112437802653572
BidAskSpread,-0.3674103061814141
BookLeverage,-0.04439397074434136
CBOperProf,0.325886087359332
CF,0.12140508204417653
Cash,-0.01827270588559641
CashProd,-0.2614208928061492
ChAssetTurnover,-0.014154330152093816
ChEQ,-0.2067900741384137
ChInv,-0.09775572943031578
ChInvIA,-0.10042315624834136
ChNNCOA,-0.01969331596593982
ChNWC,0.0042983735821076055
ChTax,0.08743414428914152
CompEquIss,0.11483582961188427
CompositeDebtIssuance,-0.08740658166353828
CoskewACX,0.16878394459253693
DelCOA,-0.11243556781949222
DelCOL,-0.117514170728367
DelEqu,-0.20752461107943876
DelFINL,-0.06981708958287217
DelLTI,-0.062390240708311034
DelNetFin,0.001505666174098317
DolVol,-0.9563030938118278
EBM,-0.32880448771063725
EP,-0.1465453200936026
EarnSupBig,0.005779389797706262
EarningsStreak,0.11848072964910203
EarningsSurprise,0.018722780497011263
EntMult,-0.18419407300400886
EquityDuration,-0.05829737392169423
ExclExp,-0.07020811020596328
FEPS,0.47559684554307957
ForecastDispersion,0.22363663990030053
GP,0.0546673272253094
Herf,-0.07958898873316643
HerfBE,-0.08190656401386719
IdioVol3F,0.223701399144499
IdioVolAHT,0.29885057789902836
Illiquidity,-0.9276406071496588
IndMom,0.010382476461922883
IndRetBig,0.00947029761010295
IntMom,0.194838147655817
IntanBM,-0.36667306585478654
IntanCFP,-0.1913163805208065
IntanEP,-0.18874522852355244
IntanSP,-0.40604399043910977
InvGrowth,-0.10033249226803324
InvestPPEInv,-0.16511910743125682
Investment,-0.093220277288282
LRreversal,-0.28383365582945513
Leverage,-0.18863959534715968
MaxRet,0.13796067280043342
MeanRankRevGrowth,-0.20467576089519313
Mom12m,0.24884989244624878
Mom12mOffSeason,0.19950132497428302
Mom6m,0.18345601202486878
MomOffSeason,-0.26497909664114383
MomOffSeason06YrPlus,-0.18551366188811133
MomSeason,0.09893591139106757
MomSeason06YrPlus,0.07591933823105192
MomSeason11YrPlus,0.05502345222798659
MomSeasonShort,0.09652871992603287
NOA,-0.1747277838524973
NetDebtFinance,-0.06295376464442771
NetDebtPrice,-0.1376438679751694
NetEquityFinance,0.19083888833578083
NetPayoutYield,0.21298867783386655
OPLeverage,-0.0662171226598239
PctAcc,0.058994621859725996
PctTotAcc,-0.13088984803988807
Price,-0.6344181827130526
PriceDelayRsq,-0.5839210818186942
RD,-0.2557213450087132
RDS,-0.2578215093748217
REV6,0.04365522584591761
RealizedVol,0.15812831049210752
ResidualMomentum,0.03607613523163081
ReturnSkew,0.024617456685310263
ReturnSkew3F,0.013504162295718596
RevenueSurprise,0.03522191743024683
RoE,0.3012542114606082
STreversal,-0.09361767345417576
ShareIss1Y,0.033017621704697825
ShareIss5Y,0.0790369874351267
Size,-0.8911279854051424
Tax,0.18242803843135266
TotalAccruals,-0.15001207421332338
TrendFactor,0.0004635834979950853
VolSD,-0.70180402104477
XFIN,0.09146082668386248
betaVIX,-0.008277609999376337
cfp,0.13144071492541287
dNoa,-0.1490148437418833
grcapx,-0.11588394217476823
grcapx3y,-0.170901880848808
hire,-0.150191023518318
roaq,0.3438064145491322
std_turn,-0.3916701949066352
zerotrade12M,-0.6883155221861849
zerotrade1M,-0.6756896042006482
zerotrade6M,-0.6916023679711651
