feature,avg_importance,neg_illiq_relatedness,is_focal,spearman_rho
DelLTI,0.03961128387039516,0.062390240708311034,False,0.07125390910905584
Size,0.02116906522838612,0.8911279854051424,True,0.07125390910905584
BMdec,0.0077454912465339445,0.2807620344687129,False,0.07125390910905584
CompEquIss,0.01419173867712696,-0.11483582961188427,False,0.07125390910905584
ResidualMomentum,0.00672958777434061,-0.03607613523163081,False,0.07125390910905584
Price,0.02164602171579826,0.6344181827130526,False,0.07125390910905584
MeanRankRevGrowth,0.004558072180719241,0.20467576089519313,False,0.07125390910905584
STreversal,0.018147556416466037,0.09361767345417576,True,0.07125390910905584
DelCOA,0.005449519809421096,0.11243556781949222,False,0.07125390910905584
Tax,0.024758681742144222,-0.18242803843135266,False,0.07125390910905584
DelFINL,0.007296243412295527,0.06981708958287217,False,0.07125390910905584
Accruals,0.005890477222490112,-0.006013874560477179,True,0.07125390910905584
AnalystRevision,0.019119931648120883,-0.038486365771374945,False,0.07125390910905584
BM,0.011145306331413852,0.376556846070235,True,0.07125390910905584
DelNetFin,0.009700766099573247,-0.001505666174098317,False,0.07125390910905584
DolVol,0.016617025809368708,0.9563030938118278,False,0.07125390910905584
dNoa,0.0069163977978345765,0.1490148437418833,False,0.07125390910905584
Illiquidity,0.012557033117686078,0.9276406071496588,True,0.07125390910905584
ChInvIA,0.004878589256400247,0.10042315624834136,False,0.07125390910905584
RevenueSurprise,0.004943943151855265,-0.03522191743024683,False,0.07125390910905584
BidAskSpread,0.01503076081173521,0.3674103061814141,True,0.07125390910905584
RDS,0.004551082756058799,0.2578215093748217,False,0.07125390910905584
RD,0.015799695275487163,0.2557213450087132,False,0.07125390910905584
cfp,0.011809152888171451,-0.13144071492541287,False,0.07125390910905584
PriceDelayRsq,0.011084015320762199,0.5839210818186942,False,0.07125390910905584
Mom6m,0.014046867058789905,-0.18345601202486878,False,0.07125390910905584
grcapx3y,0.005371377882617733,0.170901880848808,False,0.07125390910905584
Mom12mOffSeason,0.012306969078650096,-0.19950132497428302,False,0.07125390910905584
ChNWC,0.00461982446566944,-0.0042983735821076055,False,0.07125390910905584
PctTotAcc,0.007836971078441756,0.13088984803988807,False,0.07125390910905584
NetDebtFinance,0.006833661176314084,0.06295376464442771,False,0.07125390910905584
MomOffSeason06YrPlus,0.005668680644189175,0.18551366188811133,False,0.07125390910905584
ChEQ,0.007990856836767932,0.2067900741384137,False,0.07125390910905584
BPEBM,0.01159315518676657,0.04622629393333454,False,0.07125390910905584
DelEqu,0.01019887832058807,0.20752461107943876,False,0.07125390910905584
ShareIss5Y,0.005386138738235765,-0.0790369874351267,False,0.07125390910905584
OPLeverage,0.007821455516114195,0.0662171226598239,False,0.07125390910905584
TotalAccruals,0.008453282214199654,0.15001207421332338,False,0.07125390910905584
IndRetBig,0.013519038200957722,-0.00947029761010295,False,0.07125390910905584
AssetGrowth,0.011654710803604498,0.20162469436192787,True,0.07125390910905584
HerfBE,0.009696825305435974,0.08190656401386719,False,0.07125390910905584
ReturnSkew,0.010355908390178142,-0.024617456685310263,False,0.07125390910905584
Mom12m,0.01254637449758627,-0.24884989244624878,True,0.07125390910905584
Leverage,0.010913946994823238,0.18863959534715968,False,0.07125390910905584
MomSeason11YrPlus,0.006266992191089452,-0.05502345222798659,False,0.07125390910905584
ChNNCOA,0.004239010812643025,0.01969331596593982,False,0.07125390910905584
hire,0.008796322433960068,0.150191023518318,False,0.07125390910905584
AbnormalAccruals,0.006151904330595074,-0.04947994841377532,False,0.07125390910905584
CF,0.016706535617593485,-0.12140508204417653,False,0.07125390910905584
ChAssetTurnover,0.003739729431285701,0.014154330152093816,False,0.07125390910905584
AM,0.013069654972195881,0.31834814120611565,False,0.07125390910905584
MaxRet,0.010176703445987109,-0.13796067280043342,False,0.07125390910905584
RealizedVol,0.011024078904000067,-0.15812831049210752,False,0.07125390910905584
IdioVolAHT,0.011787166072983855,-0.29885057789902836,False,0.07125390910905584
zerotrade1M,0.00968199881045984,0.6756896042006482,False,0.07125390910905584
VolSD,0.008114315047673218,0.70180402104477,False,0.07125390910905584
IntanSP,0.006929590027268478,0.40604399043910977,False,0.07125390910905584
zerotrade12M,0.008475702255964234,0.6883155221861849,True,0.07125390910905584
IdioVol3F,0.01001919379588648,-0.223701399144499,True,0.07125390910905584
NetEquityFinance,0.005508718230328597,-0.19083888833578083,False,0.07125390910905584
EBM,0.00767787752196463,0.32880448771063725,False,0.07125390910905584
BetaTailRisk,0.004514434110890278,-0.09112437802653572,False,0.07125390910905584
NetDebtPrice,0.010110193481949114,0.1376438679751694,False,0.07125390910905584
