yyyymm,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,search_space,n_random_search
200001,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200002,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200003,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200004,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200005,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200006,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200007,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200008,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200009,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200010,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200011,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200012,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200101,1000,4,0.05,0.8,0.3,50,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200102,1000,4,0.05,0.8,0.3,50,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200103,1000,4,0.05,0.8,0.3,50,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200104,1000,4,0.05,0.8,0.3,50,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
