model,quintile,r2_pct
Mall,Q1,0.5712671899831712
Mall,Q2,-0.15523071139151856
Mall,Q3,-0.15830172037525347
Mall,Q4,-0.12379418038397372
Mall,Q5,-0.14389935798022613
Mall,Q4-Q5,-0.13239043755095548
MQ2+,Q1,-1.702036491938963
MQ2+,Q2,-1.164597817351254
MQ2+,Q3,-0.8139531104951692
MQ2+,Q4,-0.6214892341659173
MQ2+,Q5,-0.7687055920839292
MQ2+,Q4-Q5,-0.6844337003756973
MQ3+,Q1,-2.6869464195954817
MQ3+,Q2,-2.1918720030408956
MQ3+,Q3,-1.216177035691679
MQ3+,Q4,-0.78834472588456
MQ3+,Q5,-0.6580768582646668
MQ3+,Q4-Q5,-0.7326468298926914
MQ4+,Q1,-3.8764564479615293
MQ4+,Q2,-3.5762057417130455
MQ4+,Q3,-2.5977122664048613
MQ4+,Q4,-1.7810481154126867
MQ4+,Q5,-1.1967081524778767
MQ4+,Q4-Q5,-1.5312051796673387
MQ5+,Q1,-5.319256407677475
MQ5+,Q2,-5.240251187588685
MQ5+,Q3,-4.049843682182264
MQ5+,Q4,-3.1625747478599253
MQ5+,Q5,-1.9036588618675854
MQ5+,Q4-Q5,-2.62430719683866
