model,quintile,r2_pct
Mall,Q1,0.5712671899831712
Mall,Q2,-0.15523071139151856
Mall,Q3,-0.15830172037525347
Mall,Q4,-0.12379418038397372
Mall,Q5,-0.14389935798022613
Mall,Q4-Q5,-0.13239043755095548
MQ2+,Q1,-0.5524799314589268
MQ2+,Q2,-0.5499613111572321
MQ2+,Q3,-0.33998029593773627
MQ2+,Q4,-0.29984352678962267
MQ2+,Q5,-0.2904111720077651
MQ2+,Q4-Q5,-0.2958105881594175
MQ3+,Q1,-0.9113772581019974
MQ3+,Q2,-1.0190016641978827
MQ3+,Q3,-0.6798078764287174
MQ3+,Q4,-0.602468436317638
MQ3+,Q5,-0.55208426305553
MQ3+,Q4-Q5,-0.5809259600856542
MQ4+,Q1,-1.0098759854680672
MQ4+,Q2,-1.43935607515151
MQ4+,Q3,-1.208093859305115
MQ4+,Q4,-1.0058611694182096
MQ4+,Q5,-0.8571610218416126
MQ4+,Q4-Q5,-0.9422822876492543
MQ5+,Q1,-1.970113640265203
MQ5+,Q2,-2.549896785220729
MQ5+,Q3,-2.191065624112243
MQ5+,Q4,-2.185451800344662
MQ5+,Q5,-1.6380249460160146
MQ5+,Q4-Q5,-1.9513915938436766
