,0
NetDebtFinance,0.06354515050167224
ChNWC,0.03678929765886288
DelLTI,0.959866220735786
MomOffSeason06YrPlus,0.023411371237458192
PctTotAcc,0.06688963210702341
BMdec,0.09698996655518395
BM,0.10367892976588629
Size,0.6588628762541806
MeanRankRevGrowth,0.05351170568561873
RevenueSurprise,0.046822742474916385
ChAssetTurnover,0.046822742474916385
DelEqu,0.06354515050167224
RDS,0.020066889632107024
CompEquIss,0.22742474916387959
ShareIss5Y,0.010033444816053512
DelFINL,0.05016722408026756
ResidualMomentum,0.08361204013377926
STreversal,0.4782608695652174
Tax,0.725752508361204
BetaTailRisk,0.023411371237458192
Price,0.49498327759197325
GP,0.016722408026755852
HerfBE,0.12374581939799331
BetaLiquidityPS,0.010033444816053512
PriceDelayRsq,0.10702341137123746
Illiquidity,0.12040133779264214
AnalystRevision,0.568561872909699
Accruals,0.023411371237458192
AbnormalAccruals,0.046822742474916385
DelNetFin,0.033444816053511704
BPEBM,0.026755852842809364
ChNNCOA,0.016722408026755852
Mom12mOffSeason,0.08695652173913043
DolVol,0.21070234113712374
zerotrade1M,0.0903010033444816
ReturnSkew,0.1705685618729097
RD,0.22073578595317725
CashProd,0.23411371237458195
dNoa,0.013377926421404682
AssetGrowth,0.06354515050167224
VolSD,0.0033444816053511705
MomSeason11YrPlus,0.023411371237458192
CompositeDebtIssuance,0.013377926421404682
CF,0.3712374581939799
IntanSP,0.013377926421404682
AM,0.11371237458193979
Investment,0.013377926421404682
BidAskSpread,0.1806020066889632
Mom6m,0.11371237458193979
ChInvIA,0.030100334448160536
Mom12m,0.03678929765886288
RealizedVol,0.006688963210702341
grcapx3y,0.07357859531772576
DelCOA,0.05351170568561873
Leverage,0.013377926421404682
cfp,0.020066889632107024
IndRetBig,0.23076923076923078
Beta,0.07692307692307693
hire,0.12709030100334448
betaVIX,0.0
DelCOL,0.023411371237458192
CBOperProf,0.0033444816053511705
OPLeverage,0.0033444816053511705
NOA,0.033444816053511704
EquityDuration,0.006688963210702341
InvGrowth,0.006688963210702341
NetDebtPrice,0.0
zerotrade12M,0.03678929765886288
MomSeasonShort,0.006688963210702341
ChEQ,0.07692307692307693
IdioVolAHT,0.033444816053511704
Herf,0.12374581939799331
IdioVol3F,0.0033444816053511705
EBM,0.023411371237458192
EP,0.0
ChTax,0.07023411371237458
XFIN,0.05016722408026756
zerotrade6M,0.020066889632107024
roaq,0.020066889632107024
BookLeverage,0.0
IntanBM,0.006688963210702341
std_turn,0.026755852842809364
IntMom,0.020066889632107024
EarningsSurprise,0.0033444816053511705
PctAcc,0.06020066889632107
MaxRet,0.0
LRreversal,0.026755852842809364
Cash,0.03678929765886288
CoskewACX,0.0033444816053511705
RoE,0.056856187290969896
TotalAccruals,0.030100334448160536
IntanEP,0.0033444816053511705
grcapx,0.006688963210702341
ExclExp,0.27424749163879597
ShareIss1Y,0.0033444816053511705
ReturnSkew3F,0.033444816053511704
AnnouncementReturn,0.0
EntMult,0.04013377926421405
IndMom,0.17391304347826086
FEPS,0.026755852842809364
ChInv,0.27759197324414714
InvestPPEInv,0.013377926421404682
NetEquityFinance,0.0033444816053511705
MomSeason,0.010033444816053512
TrendFactor,0.006688963210702341
EarnSupBig,0.11036789297658862
MomOffSeason,0.09698996655518395
EarningsStreak,0.006688963210702341
NetPayoutYield,0.006688963210702341
MomSeason06YrPlus,0.0
IntanCFP,0.0033444816053511705
REV6,0.05016722408026756
ForecastDispersion,0.006688963210702341
