,0
AM,0.0009667935688176641
AbnormalAccruals,0.0007499058058787494
Accruals,2.748586276379964e-05
AnalystRevision,0.0027704857199343344
AnnouncementReturn,0.0415060322875561
AssetGrowth,0.014476361942673507
BM,0.003965768888702364
BMdec,0.00205182021825994
BPEBM,0.0012494796090093616
Beta,0.00037880389973279617
BetaLiquidityPS,0.002745727310577422
BetaTailRisk,0.006711247699411268
BidAskSpread,0.009944612699490292
BookLeverage,0.013908994525566038
CBOperProf,0.05144212373265055
CF,0.0032985916830833026
Cash,0.0042936812780624695
CashProd,0.003658414477495019
ChAssetTurnover,0.0015291532422374915
ChEQ,0.004751129354263146
ChInv,0.010862047373659398
ChInvIA,0.0017442459459738838
ChNNCOA,0.0021212489638404884
ChNWC,0.0012557994003131539
ChTax,0.005368617002462867
CompEquIss,0.00625040817628533
CompositeDebtIssuance,
CoskewACX,0.013699576198316254
DelCOA,0.0016758337995968738
DelCOL,0.00011968090791623517
DelEqu,0.020244894331444403
DelFINL,0.017101299062919434
DelLTI,0.015005422590254029
DelNetFin,0.00021869626388588948
DolVol,0.0011035335759341834
EBM,1.4944564766573515e-05
EP,0.001268370331591988
EarnSupBig,9.278541230890312e-05
EarningsStreak,0.009301510603692179
EarningsSurprise,0.0012780996484322987
EntMult,0.00022952868123742232
EquityDuration,0.0004380023979258874
ExclExp,0.0017584592051877936
FEPS,0.0034414742624107823
ForecastDispersion,0.019554561134345904
GP,0.02153767872789994
Herf,0.00017212010061147965
HerfBE,0.0024470472946548404
IdioVol3F,0.02862729957343844
IdioVolAHT,0.011738742338711645
Illiquidity,0.007519937804005352
IndMom,0.0027444638409079222
IndRetBig,0.03447716207312097
IntMom,0.007433602398303003
IntanBM,5.066295733085226e-05
IntanCFP,0.002305676075733288
IntanEP,0.0010234533451627175
IntanSP,0.00024615629565774024
InvGrowth,
InvestPPEInv,0.013921044694437045
Investment,0.013571444410677815
LRreversal,0.0029836168861159906
Leverage,0.0021137854988389567
MaxRet,0.02134949667190552
MeanRankRevGrowth,0.0005653885735407004
Mom12m,0.0054743011511879745
Mom12mOffSeason,0.01704083440478094
Mom6m,0.003911425859854187
MomOffSeason,0.007875954224317834
MomOffSeason06YrPlus,0.001417346810548792
MomSeason,0.007009959726172566
MomSeason06YrPlus,0.03499216128119692
MomSeason11YrPlus,0.005732487960435105
MomSeasonShort,0.0003170905112948853
NOA,0.02301141804953759
NetDebtFinance,0.028329703393105216
NetDebtPrice,0.0031025769932250245
NetEquityFinance,0.012496712472807429
NetPayoutYield,0.015567146430738607
OPLeverage,0.008067249949288506
PctAcc,0.002270732510486926
PctTotAcc,0.003256574050248497
Price,0.0019401167983043276
PriceDelayRsq,0.02932594001148043
RD,0.0022015234858997514
RDS,0.00330783861741397
REV6,0.005754583600967102
RealizedVol,0.02517854651852451
ResidualMomentum,0.023672839526144036
ReturnSkew,0.0010239154360985542
ReturnSkew3F,0.0006154792506916953
RevenueSurprise,0.000135729470905018
RoE,0.007092513868711237
STreversal,0.00030655650160643584
ShareIss1Y,0.020321132847464597
ShareIss5Y,0.016230500838703428
Size,0.001265243229537419
Tax,0.010903768839683808
TotalAccruals,0.0023453806013125273
TrendFactor,0.02743875861198036
VolSD,5.502783990882638e-06
XFIN,0.021347582221548658
betaVIX,0.004712688831192711
cfp,0.010434415556805295
dNoa,0.03571796856013792
grcapx,0.0020559067836401976
grcapx3y,0.0074820651238602974
hire,0.010180124693061387
roaq,0.011842157266405712
std_turn,0.043331224112402825
zerotrade12M,0.000801096010879461
zerotrade1M,0.01417817336009804
zerotrade6M,8.369352757969172e-09
